GEOID,NAME,variable,estimate,moe,coverage_all,coverage_na,coverage_4050,coverage_5060,coverage_6070,coverage_7080,coverage_8090,coverage_90,noise4050n,noise5060n,noise6070n,noise7080n,noise8090n,noise90n,noise4050p,noise5060p,noise6070p,noise7080p,noise8090p,noise90p
"02013000100","Census Tract 1, Aleutians East Borough, Alaska",B01003_001,3389,,20578942.819843,20578900.819843,42,0,0,0,0,0,0.00487872025371568,0,0,0,0,0,2.04092116721866e-06,0,0,0,0,0
"02016000100","Census Tract 1, Aleutians West Census Area, Alaska",B01003_001,950,128,4744368.22339094,4744368.22339094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02016000200","Census Tract 2, Aleutians West Census Area, Alaska",B01003_001,4758,128,3182177.92132437,3181846.81199841,117.411781791598,204.697544172406,9,0,0,0,0.200744983863983,0.415777989217146,0.0159813687147441,0,0,0,3.6896674131512e-05,6.43262410944057e-05,2.82825166364499e-06,0,0,0
"02020000101","Census Tract 1.01, Anchorage Municipality, Alaska",B01003_001,5778,808,1844209.75963642,1840446.68226689,1337.49526314065,1331.25514382322,586.95078331296,506.376179258004,0,1,56.1083730848912,46.1463853388632,24.7493315091201,13.5004726137464,0,0.00139102675707745,0.000725240312904716,0.000721856685155853,0.000318266824175507,0.000274576238745117,0,5.42237668342643e-07
"02020000102","Census Tract 1.02, Anchorage Municipality, Alaska",B01003_001,4775,729,189339.12533335,185955.356597034,1216.50651041185,1353.80967649545,466.568536325463,346.884013083189,0,0,72.312945163894,83.0044764265934,26.6588672655782,17.9563598862974,0,0,0.0064250138911864,0.00715018448570486,0.00246419505479401,0.00183207782581897,0,0
"02020000201","Census Tract 2.01, Anchorage Municipality, Alaska",B01003_001,4675,615,3780.17773627725,2790.74941328225,277.627274868719,361.434682929626,191.990333341062,158.376031855587,0,0,347.776972657099,453.148256403782,240.714165514039,197.040358892236,0,0,0.0734429157138332,0.0956131452394539,0.0507887053824447,0.0418964511471773,0,0
"02020000202","Census Tract 2.02, Anchorage Municipality, Alaska",B01003_001,6751,942,10264.7992084454,9932.97889497653,117.539917074066,141.000608396189,73.2797879986465,0,0,0,104.318036259938,130.620644664805,85.7255498867579,0,0,0,0.011450776063633,0.0137363240656651,0.00713894022772068,0,0,0
"02020000204","Census Tract 2.04, Anchorage Municipality, Alaska",B01003_001,3555,435,569452.74587448,567922.407434658,500.213141282555,833.472293506013,116.974478371989,79.6785266610241,0,0,3.12737830166824,5.18545566603739,0.755118366983415,0.514357659664715,0,0,0.00087841027180298,0.00146363732468458,0.000205415601591941,0.000139921226542978,0,0
"02020000205","Census Tract 2.05, Anchorage Municipality, Alaska",B01003_001,7362,773,9174.33925287204,8943.17244128428,140.152584548712,77.480401207562,13.5338258314878,0,0,0,139.688263776698,57.0976522826635,8.7473973856727,0,0,0,0.0152765862135344,0.0084453385766508,0.00147518262170771,0,0,0
"02020000206","Census Tract 2.06, Anchorage Municipality, Alaska",B01003_001,3309,536,7468.23085769805,7344.70312358907,85.4942745648004,37.9442988410592,0.0891607031226158,0,0,0,58.7946078507908,25.3992269822021,0.0917420187661525,0,0,0,0.0114477278747583,0.00508076136960164,1.19386645674874e-05,0,0,0
