GEOID,NAME,variable,estimate,moe,coverage_all,coverage_na,coverage_4050,coverage_5060,coverage_6070,coverage_7080,coverage_8090,coverage_90,noise4050n,noise5060n,noise6070n,noise7080n,noise8090n,noise90n,noise4050p,noise5060p,noise6070p,noise7080p,noise8090p,noise90p
"04001942600","Census Tract 9426, Apache County, Arizona",B01003_001,1711,330,1695417.8431768,1690913.23081948,1422.30845891801,1891.0952752987,1191.20862310912,0,0,0,1.57009904408428,2.02003245119141,1.48919341213466,0,0,0,0.000838913229940382,0.00111541546109675,0.000702604746023604,0,0,0
"04001942700","Census Tract 9427, Apache County, Arizona",B01003_001,5469,538,3324466.24410972,3312359.90509359,3773.68741021286,5345.43891656377,2987.21268934702,0,0,0,6.30577019884819,8.58961092869531,5.18934057851845,0,0,0,0.00113512580159268,0.00160790891651699,0.000898554074549489,0,0,0
"04001944000","Census Tract 9440, Apache County, Arizona",B01003_001,6577,742,881025.447971852,879220.732130894,665.999999972992,1138.71584098518,0,0,0,0,28.9925164858649,41.7581949732518,0,0,0,0,0.000755937301818176,0.00129248915977006,0,0,0,0
"04001944100","Census Tract 9441, Apache County, Arizona",B01003_001,6183,645,2037970.92615992,2033659.34216709,1956.1228703279,1787.99390646082,567.467216044664,0,0,0,6.7908060524261,6.11717930957487,1.18760504052554,0,0,0,0.000959838457565123,0.000877340242448833,0.000278447159751157,0,0,0
"04001944201","Census Tract 9442.01, Apache County, Arizona",B01003_001,4540,737,558138.0204257,554602.38619885,1153.06095102654,1520.8089721952,861.764303628242,0,0,0,15.187261188115,20.7881053508425,18.7505063191294,0,0,0,0.00206590647622802,0.00272479013530605,0.00154399856682575,0,0,0
"04001944202","Census Tract 9442.02, Apache County, Arizona",B01003_001,3507,645,477134.523668708,474935.058022153,627.442489258538,1111.22861911177,460.794538185,0,0,0,23.1226982878286,33.8057126383521,32.3910888156346,0,0,0,0.00131502219632758,0.0023289629318111,0.000965753923321102,0,0,0
"04001944301","Census Tract 9443.01, Apache County, Arizona",B01003_001,3120,424,1392682.0440944,1388898.53234793,1227.10930380139,1851.05443355557,705.348009112573,0,0,0,4.93176148779148,6.65862726734511,3.3045366026375,0,0,0,0.000881112317779129,0.00132912924483005,0.000506467367841472,0,0,0
"04001944302","Census Tract 9443.02, Apache County, Arizona",B01003_001,2808,403,1549635.86841225,1546295.63329284,1052.63893888891,1612.65659735527,674.939583158881,0,0,0,2.1103136344673,3.28472979757032,1.04708771640009,0,0,0,0.000679281475310351,0.00104066808869596,0.00043554721268192,0,0,0
"04001944901","Census Tract 9449.01, Apache County, Arizona",B01003_001,4008,461,1660664.9630468,1653421.44848466,2003.79134895962,3097.23540133148,2142.4878118444,0,0,0,6.7507468735283,9.29195718617847,8.49022418839177,0,0,0,0.0012066198742962,0.0018650573536814,0.00129013850446607,0,0,0
"04001944902","Census Tract 9449.02, Apache County, Arizona",B01003_001,4946,417,3098209.16805866,3089684.94080229,2861.24699413511,3450.88975930738,2212.0905029302,0,0,0,6.48375824374928,7.76879286751189,5.72312746971766,0,0,0,0.00092351640542332,0.00111383369298778,0.000713990044873664,0,0,0
"04001945001","Census Tract 9450.01, Apache County, Arizona",B01003_001,4085,596,121901.121911422,120337.584524399,491.476756909047,654.966493091993,415.552974293365,1.54116272926331,0,0,33.1644666261459,55.3244966558529,22.9183709246022,0.109918231352591,0,0,0.00403176565730192,0.00537293244575644,0.00340893478072598,1.26427280167542e-05,0,0
"04001945002","Census Tract 9450.02, Apache County, Arizona",B01003_001,4053,494,1294291.1545766,1240806.30588842,28255.0558917371,18670.003188649,4445.68014258798,1793.58760579675,293.521859407425,27,85.2006584220674,56.5475333365259,13.8215162457584,5.42249828244881,0.879502522740229,0.0852945376387933,0.021830525374316,0.0144248866436521,0.00343483776959157,0.00138576826354306,0.000226781940345907,2.08608394676332e-05
"04001945100","Census Tract 9451, Apache County, Arizona",B01003_001,2694,357,1795749.73255799,1738021.36196807,31162.3096921031,20024.1949802823,4360.76477700982,1891.62299992572,270.478140603751,19,37.3432183013318,25.1470687164497,5.22449192468389,2.24829785804627,0.325372456583059,0.0226178487848708,0.017353370086662,0.0111508828971165,0.00242838113682916,0.00105338899158914,0.000150621289648454,1.05805389556902e-05
"04001970201","Census Tract 9702.01, Apache County, Arizona",B01003_001,2740,592,1806025.42062884,1797935.34810926,2786.19516560271,3626.50504384679,1635.37231013794,35,4,3,14.238322126312,25.3031613406527,8.78197954616262,0.0290474361917416,0.00331970699334189,0.00248978024500642,0.00154272200921323,0.00200800332178274,0.000905509020780294,1.93795721811121e-05,2.21480824926995e-06,1.66110618695246e-06
"04001970202","Census Tract 9702.02, Apache County, Arizona",B01003_001,2108,389,3932332.20024079,3868326.30002792,34729.6105380739,22616.0513515401,4990.04750991836,1406.47390202366,221.716911315918,42,9.4101956494217,6.95559243036652,2.04512659847369,0.266960028293309,0.0420836482161807,0.00797193689281153,0.00883180992082696,0.00575130741755623,0.00126897913396351,0.000357669146553167,5.63830571848283e-05,1.06806846068163e-05
"04001970300","Census Tract 9703, Apache County, Arizona",B01003_001,3256,601,1538616.2805266,1532023.40511392,1968.25837928493,3521.83323369064,1102.78379969542,0,0,0,47.590463695528,44.2384876198821,4.64376287191537,0,0,0,0.00127923927765231,0.00228896137280263,0.00071673737867767,0,0,0
"04001970501","Census Tract 9705.01, Apache County, Arizona",B01003_001,5582,433,17778.6689679479,16940.8505422541,280.613336729561,475.290663432068,81.9144255321029,0,0,0,95.4630707702218,177.911725315609,34.2646229009228,0,0,0,0.0157837089624348,0.0267337596694636,0.00460745546698584,0,0,0
"04001970502","Census Tract 9705.02, Apache County, Arizona",B01003_001,4327,580,5104820.08493978,5090157.80566984,5935.52077635962,6944.54440816558,1782.21408541048,0,0,0,7.90681987901944,8.08096061282714,1.83550274764629,0,0,0,0.00116272869123646,0.00136038964990232,0.00034912378022261,0,0,0
"04003000101","Census Tract 1.01, Cochise County, Arizona",B01003_001,1123,291,2577280.88438158,2502101.03138011,37596.074932343,25376.4804799954,8227.87168635428,3717.42590276897,212,50,16.3817581563882,11.0573076267055,3.58513500013523,1.61979600830791,0.0923748751805634,0.0217865271652272,0.0145874961321355,0.00984622228557929,0.00319246215506253,0.00144238291033652,8.22572352453815e-05,1.94002913314579e-05
"04003000102","Census Tract 1.02, Cochise County, Arizona",B01003_001,728,144,1375683.77340838,1370861.94656398,1228.47753353994,3281.41647128127,311.932839577086,0,0,0,0.650099726190191,1.7364973239265,0.165072171091682,0,0,0,0.000892994129382131,0.00238529852187706,0.000226747487763299,0,0,0
"04003000201","Census Tract 2.01, Cochise County, Arizona",B01003_001,3203,544,956180.655833076,946607.373066015,3322.54554076513,3581.42264763439,1545.22692799723,1084.91372853887,39.1739221252501,0,11.129581619646,12.00707113781,5.1967106929913,3.67842968388717,0.134746225806492,0,0.0034748094102263,0.00374555020098589,0.00161604077490037,0.00113463258425118,4.0969164023842e-05,0
"04003000202","Census Tract 2.02, Cochise County, Arizona",B01003_001,3687,209,154637.21901655,133316.252137037,9583.88914271772,8534.43448005694,2367.84209437198,742.041690259272,75.7594721075147,17,418.102330634942,307.931575374877,74.8958919001698,26.5204089193067,1.26329374473155,0.280329839295047,0.0619766004825267,0.055190041144904,0.0153122392489389,0.00479859696765404,0.000489917450593873,0.000109934724047129
"04003000203","Census Tract 2.03, Cochise County, Arizona",B01003_001,2712,379,1002856.43476305,978544.589637778,11588.950491728,9005.10949884359,3145.23954629091,506.991679183675,50.553909230046,15,18.194551085667,15.8964439866147,9.52035814727787,0.576791873787227,0.0575139301674885,0.0170651284075098,0.0115559416981416,0.0089794602564137,0.00313628096431773,0.000505547615400665,5.04099165918902e-05,1.49572755182491e-05
"04003000301","Census Tract 3.01, Cochise County, Arizona",B01003_001,3597,292,20567.9208783337,12608.1100172988,4654.91645971939,2442.31434043509,709.288424608298,133.466460126509,17.8251761307474,2.00000001490116,1024.64046062168,516.343298728265,137.501331625329,22.1595455191463,2.93367157371144,0.551973654458303,0.226319251578943,0.118743861126373,0.0344851785848449,0.00648905939088391,0.000866649392332334,9.72388034129384e-05
