GEOID,NAME,variable,estimate,moe,coverage_all,coverage_na,coverage_4050,coverage_5060,coverage_6070,coverage_7080,coverage_8090,coverage_90,noise4050n,noise5060n,noise6070n,noise7080n,noise8090n,noise90n,noise4050p,noise5060p,noise6070p,noise7080p,noise8090p,noise90p
"06001400100","Census Tract 4001, Alameda County, California",B01003_001,3035,402,7720.96662649494,7051.70828014497,366.410953963677,187.375839182176,71.4572150572203,36.0241376496851,7.99020049721003,0,210.066020577137,110.600410387012,49.037566565328,32.2396257507708,8.03579017022762,0,0.0474566167280554,0.0242684430909447,0.00925495712052566,0.00466575487142585,0.00103487048756191,0
"06001400200","Census Tract 4002, Alameda County, California",B01003_001,1983,209,644.989498542276,217.896789941005,171.54200165817,163.868426686036,41.9301008991897,47.1996910298185,2.55248832805592,0,529.434813035052,505.381802385318,130.04897235374,146.392953563357,7.9167108327899,0,0.265960921915578,0.254063712752519,0.0650089668032655,0.0731790070016539,0.00395741067695633,0
"06001400300","Census Tract 4003, Alameda County, California",B01003_001,5058,559,1230.26481204573,464.004765983518,234.633927684717,313.726191156042,87.1807053902157,56.9624040282215,73.7568178030197,0,961.478241925869,1244.34527864753,324.411365958513,216.331951401692,274.106422013061,0,0.190718230243909,0.25500704245484,0.0708633657864668,0.0463009292556308,0.0599519851993278,0
"06001400400","Census Tract 4004, Alameda County, California",B01003_001,4179,529,799.663421533553,473.924905649736,128.369846340502,121.028319687483,60.6818325212225,14.3760206624866,1.28249667212367,0,586.595016381875,597.982527227847,316.055535462752,46.2668510566725,4.1275039806155,0,0.160529846537585,0.151349075659084,0.0758842168932149,0.0179775894149528,0.00160379559398148,0
"06001400500","Census Tract 4005, Alameda County, California",B01003_001,4021,631,653.904962118343,378.575506941183,189.12413930746,79.6524492245198,6.55286664518098,0,0,0,1079.57115329949,517.873141701441,43.4557475955603,0,0,0,0.289222670362964,0.121810437049573,0.0100211300185776,0,0,0
"06001400600","Census Tract 4006, Alameda County, California",B01003_001,1812,230,335.206715312323,12.525198623538,182.204175150953,97.9447612129152,22.1493521226821,15.8948447657749,4.48838343645912,0,1046.93551635283,492.766102064155,103.460332412484,71.7548293542341,20.2484222650987,0,0.543557652122774,0.292192121275545,0.0660766956952066,0.0474180380036992,0.0133898971334066,0
"06001400700","Census Tract 4007, Alameda County, California",B01003_001,5165,615,960.800409637677,0,529.020484100382,343.192610741185,43.0197449102998,43.5675698858104,2,0,2845.07396320274,1846.19808872077,226.789942746888,236.865209603089,10.0727957265108,0,0.550603932714681,0.357194488364764,0.0447749027568824,0.0453450783833865,0.00208159778028635,0
"06001400800","Census Tract 4008, Alameda County, California",B01003_001,4001,492,798.652666896428,0,588.154365794297,140.515161721319,33.2759101837873,36.7072291970253,0,0,2934.08276651404,712.500048062745,168.473178871595,185.944006551623,0,0,0.736433233335174,0.17594026483047,0.0416650586206615,0.0459614432136938,0,0
"06001400900","Census Tract 4009, Alameda County, California",B01003_001,2853,462,468.861747501593,0,388.208008973568,49.0806205277331,16.2000923296437,15.3730256706476,0,0,2358.99638067589,301.144661388563,100.114233321319,92.7447246142326,0,0,0.82797969986291,0.104680368550574,0.0345519599668101,0.0327879716197052,0,0
"06001401000","Census Tract 4010, Alameda County, California",B01003_001,6057,851,1274.16803544881,40.9271227177233,618.781254732232,417.920375440577,120.640530350152,42.3493268181919,32.5494253899378,1,2957.56811716683,2022.101809902,539.387323437973,186.789307239685,164.27571239266,2.51671830673799,0.485635518641991,0.327994710127356,0.0946818056910821,0.0332368460359899,0.0255456301558158,0.000784825841002799
