GEOID,NAME,variable,estimate,moe,coverage_all,coverage_na,coverage_4050,coverage_5060,coverage_6070,coverage_7080,coverage_8090,coverage_90,noise4050n,noise5060n,noise6070n,noise7080n,noise8090n,noise90n,noise4050p,noise5060p,noise6070p,noise7080p,noise8090p,noise90p
"08001007801","Census Tract 78.01, Adams County, Colorado",B01003_001,4274,647,715.716139534255,565.009411981329,55.0962923914194,83.7373333491851,11.8731018123217,0,0,0,330.029749422754,497.674020662068,70.468877478411,0,0,0,0.0769806482598991,0.116997967104216,0.016589121240228,0,0,0
"08001007802","Census Tract 78.02, Adams County, Colorado",B01003_001,4491,767,708.188773956848,541.007762637921,63.6967069879174,89.9534502965398,13.5308540344704,0,0,0,404.478367843204,602.67390793398,88.7407262945201,0,0,0,0.0899431187422333,0.127019028830328,0.0191062814493228,0,0,0
"08001007900","Census Tract 79, Adams County, Colorado",B01003_001,5561,694,1824.79390132509,1590.61994933579,91.6350180245936,142.369778441527,0.169155523180962,0,0,0,313.999413571088,512.324622368342,0.92012877558414,0,0,0,0.050216639784938,0.0780196483220074,9.26984264130476e-05,0,0,0
"08001008000","Census Tract 80, Adams County, Colorado",B01003_001,5713,992,2172.18498189244,1856.25477310631,148.771581351837,166.043622562436,0.968030040035956,0,0,0.146974831819534,372.467675467559,424.300375112732,1.47639279241411,0,0,0.146159045928784,0.0684893701926917,0.0764408298310656,0.000445648067777632,0,0,6.76622078896282e-05
"08001008100","Census Tract 81, Adams County, Colorado",B01003_001,1440,193,3022.44592732863,2282.36605806649,322.69198373449,279.389706814662,122.275999161619,14.5701485960744,1.0160915509332,0.135939404368401,153.741859325294,133.111125057811,58.256605089493,6.94173344463803,0.484101905716149,0.0647663339550665,0.10676518008701,0.0924382812901464,0.0404559757565924,0.00482064822544308,0.000336181878969548,4.49766208021295e-05
"08001008200","Census Tract 82, Adams County, Colorado",B01003_001,6779,1030,4970.51820220307,2942.78015692517,854.286704367022,811.139041625196,244.409331423114,97.4313551698724,17.6219429448247,2.84966974786948,1069.9136177781,1042.77489964594,336.134095967228,184.366430018203,32.8620000467169,2.45995466367694,0.171870752628645,0.163190035450565,0.0491718009029291,0.0196018505931008,0.00354529291070983,0.000573314417520176
"08001008308","Census Tract 83.08, Adams County, Colorado",B01003_001,5837,855,4793.07395127447,3054.68234209609,621.867493536323,568.149313018532,261.982861121534,249.616473994451,36.6145823374391,0.160885170102119,602.31147742772,604.305673061544,199.871107871083,226.62177832973,32.4773883370097,0.0589718819908342,0.129742937383841,0.118535478232599,0.0546586311383477,0.0520785776585145,0.00763906059235812,3.35661773086852e-05
"08001008309","Census Tract 83.09, Adams County, Colorado",B01003_001,4113,639,13378.2759873112,9598.2060504027,1479.78235843641,1426.59035443154,670.331822735257,191.365401305258,10,2,274.121902956009,328.738093108006,124.025018539983,7.20208903229058,0.242034326264993,0.0484068652529985,0.110610841026148,0.106634842619827,0.0501059944772439,0.0143041899783471,0.000747480468296862,0.000149496093659372
"08001008354","Census Tract 83.54, Adams County, Colorado",B01003_001,3785,801,120658.702843463,36528.8759761959,37365.5475758387,43184.263949001,2977.41618520206,584.846457970896,17.7526992542262,0,1192.64554536864,1698.06064048171,232.082635399928,9.90870968921641,0.0182663543982186,0,0.309679672458564,0.357904261618214,0.0246763483697055,0.00484711375299343,0.000147131527489217,0
"08001008355","Census Tract 83.55, Adams County, Colorado",B01003_001,5048,718,3960.29978493,3324.00291150481,216.44963578321,264.451283340342,75.8333279453836,68.9156839102507,10.6469424460083,0,216.851790699033,265.604626136289,61.0977384883314,36.5509639041911,5.61299546236909,0,0.054654861383691,0.066775571977316,0.0191483806942974,0.0174016331219402,0.00268841830775609,0
