GEOID,NAME,variable,estimate,moe,coverage_all,coverage_na,coverage_4050,coverage_5060,coverage_6070,coverage_7080,coverage_8090,coverage_90,noise4050n,noise5060n,noise6070n,noise7080n,noise8090n,noise90n,noise4050p,noise5060p,noise6070p,noise7080p,noise8090p,noise90p
"13001950100","Census Tract 9501, Appling County, Georgia",B01003_001,3269,549,369105.077418257,365013.312714877,1614.23939557354,1971.1036444577,505.253396486441,1.16826686263084,0,0,12.3651583276324,13.0993678378508,5.64903859791168,0.017195052869473,0,0,0.00437338713101566,0.00534022359769414,0.00136886059660975,3.16513354625844e-06,0,0
"13001950201","Census Tract 9502.01, Appling County, Georgia",B01003_001,2276,392,117413.77417965,115151.012984235,739.384379020266,1234.58643870473,286.891613317963,1.89876437187195,0,0,12.9111888416766,21.2247417968276,7.37850476886551,0.0515206611477769,0,0,0.0062972541695914,0.0105148347996696,0.00244342382588776,1.61715640702148e-05,0,0
"13001950202","Census Tract 9502.02, Appling County, Georgia",B01003_001,2504,427,57966.8563067063,56394.9370531058,700.378532382485,676.824155693221,194.715671382144,0.000894142664037645,0,0,52.5039523263223,59.3750995599734,11.5045316747259,2.19134048759316e-05,0,0,0.0120823963382927,0.0116760541940053,0.00335908627426492,1.54250673748233e-08,0,0
"13001950301","Census Tract 9503.01, Appling County, Georgia",B01003_001,3008,436,31530.7266292741,28970.1571795529,1230.08136681983,1030.13589318659,290.352189714758,8,2,0,124.212670056341,101.581051768861,40.6214549558807,0.523824120443721,0.13095603011093,0,0.0390121477783446,0.0326708580267916,0.00920854736805167,0.000253720762418858,6.34301906047145e-05,0
"13001950302","Census Tract 9503.02, Appling County, Georgia",B01003_001,1729,362,48397.8141754024,44150.3826411774,1896.97370157856,1782.3615016149,500.096331031527,54,4,10,128.580390754741,105.403378860017,32.5441065171993,2.21205173431679,0.104586907607402,2.66185271386909,0.0391954416516331,0.0368273140426405,0.0103330354800547,0.00111575286859639,8.26483606367693e-05,0.000206620901591923
"13001950400","Census Tract 9504, Appling County, Georgia",B01003_001,1892,414,432643.631019286,421450.751420957,4516.11020486092,4906.03568364578,1584.28282936871,159.450880452991,23,4,18.4670387040706,20.7061360359931,6.24344533024341,0.614064426920277,0.087728692663496,0.016235892441348,0.0104384067649885,0.0113396692610207,0.00366186559972286,0.000368550162352633,5.31615360795054e-05,9.24548453556616e-06
"13001950500","Census Tract 9505, Appling County, Georgia",B01003_001,3750,597,416939.272433715,408913.680050121,3168.70880414118,3845.7399547137,972.143624739721,35,3,1,37.740477949065,39.083837124243,12.3137615418524,0.603127916511177,0.0516966785581009,0.0172322261860336,0.00759992884729978,0.00922374122318997,0.0023316192285395,8.39450786098934e-05,7.19529245227658e-06,2.39843081742553e-06
"13003960100","Census Tract 9601, Atkinson County, Georgia",B01003_001,2342,286,286128.988388646,281490.339566586,1706.03269296935,1795.18076554882,1086.8360076653,30.5993558764458,11,9,14.1844422125033,14.7265853064526,8.30239599732847,0.206664676731259,0.0722042575379368,0.0590762107128574,0.00596246015678798,0.00627402618538758,0.00379841278503759,0.000106942522841772,3.84441998063434e-05,3.14543452960991e-05
"13003960200","Census Tract 9602, Atkinson County, Georgia",B01003_001,4506,331,448467.080181901,440821.550159674,2662.65342105509,3312.32647890781,1656.19811036546,14.3520118985325,0,0,30.9611390453432,38.8391578293411,20.4093040792532,0.230984620765634,0,0,0.00593723271722665,0.00738588544239258,0.00369302047698506,3.2002375498133e-05,0,0
"13003960300","Census Tract 9603, Atkinson County, Georgia",B01003_001,1463,269,257301.94577852,254278.384126344,1549.9150958398,1050.47891662829,421.143403023481,2.02423668466508,0,0,8.81270360530219,5.97294610570132,2.39459051411025,0.0115096613852045,0,0,0.00602372085119767,0.00408266992870903,0.00163676726870147,7.86716430977752e-06,0,0
