GEOID,NAME,variable,estimate,moe,coverage_all,coverage_na,coverage_4050,coverage_5060,coverage_6070,coverage_7080,coverage_8090,coverage_90,noise4050n,noise5060n,noise6070n,noise7080n,noise8090n,noise90n,noise4050p,noise5060p,noise6070p,noise7080p,noise8090p,noise90p
"15001020100","Census Tract 201, Hawaii County, Hawaii",B01003_001,4211,530,280330.758868746,278591.000782466,565.891448589042,607.944779788901,544.92185790278,21,0,0,40.726847518468,33.5581202802836,34.7028339857902,0.660016587975657,0,0,0.00201865628614089,0.00216866954679613,0.00194385325428352,7.49115084079389e-05,0,0
"15001020202","Census Tract 202.02, Hawaii County, Hawaii",B01003_001,2750,432,705436.203377422,702883.582509122,849.968195232097,921.469793950062,779.461927815777,1.72095130197704,0,0,6.34426948527372,6.39898543750237,2.66634000022362,0.0041315592404952,0,0,0.00120488315054246,0.00130624114489494,0.001104936100648,2.43955625432552e-06,0,0
"15001020300","Census Tract 203, Hawaii County, Hawaii",B01003_001,4367,615,3684.9665409364,3081.28310643463,222.270782049512,277.443651527875,98.8928069956601,5.07619392871857,0,0,287.74749867176,363.420601506312,116.194334318905,6.72743829018916,0,0,0.0603182632950123,0.0752906840389854,0.0268368263041352,0.00137754138940666,0,0
"15001020400","Census Tract 204, Hawaii County, Hawaii",B01003_001,3377,593,3177.58677248186,2148.58734099765,412.73599832115,447.989816082874,157.737128487555,10.5364885926247,0,0,320.922962044025,352.008555570572,127.306494340421,7.53279590051245,0,0,0.129889764740801,0.140984290330795,0.0496405416379407,0.00331587753444578,0,0
"15001020500","Census Tract 205, Hawaii County, Hawaii",B01003_001,5793,911,6871.97648237011,4902.20094912919,778.497381466189,897.022330412408,290.796371624063,3.45944973826408,0,0,651.659497012,770.81650295303,261.178993920125,3.0539327755383,0,0,0.113285804086118,0.130533381875461,0.0423162640864813,0.000503414082853633,0,0
"15001020600","Census Tract 206, Hawaii County, Hawaii",B01003_001,5823,477,54612.8468554133,33527.1333833749,8650.0728319494,9801.61931047207,2093.12250967493,430.898819942027,99,11,1169.38596612908,1457.27829626785,177.266945983443,32.3320645837552,2.53110221923059,0.281233579914511,0.158388974939364,0.179474608537103,0.0383265592291212,0.00789006332306436,0.00181276028810769,0.000201417809789743
"15001020701","Census Tract 207.01, Hawaii County, Hawaii",B01003_001,4658,568,5289.66017155751,4308.66015528864,308.757885672986,472.455803753168,181.446777296835,18.3395495458826,0,0,270.825918484319,407.610713727817,161.5664172678,15.0038502271792,0,0,0.0583700796760397,0.089316853716532,0.0343021614644497,0.00346705628548585,0,0
"15001020702","Census Tract 207.02, Hawaii County, Hawaii",B01003_001,4696,670,3418.020482918,3052.05886092319,139.548023683672,195.198344851146,31.2152534599882,0,0,0,194.075553783826,273.699724112961,45.0047703591642,0,0,0,0.0408271467011627,0.0571085942365397,0.00913255307157767,0,0,0
"15001020801","Census Tract 208.01, Hawaii County, Hawaii",B01003_001,4849,723,33594.6406917334,33134.9073276716,125.942266924598,300.273095113389,33.5180020238404,0,0,0,27.8873186203429,61.4237048423668,7.25418331378654,0,0,0,0.00374887971210207,0.00893812491905225,0.00099771872339412,0,0,0
"15001020802","Census Tract 208.02, Hawaii County, Hawaii",B01003_001,6821,758,11855.5683707857,11447.2306431206,139.828885677262,190.88816850937,77.62067347845,0,0,0,84.1879453431051,113.783559058646,43.6687877987294,0,0,0,0.011794363737282,0.016101140201743,0.00654719124809924,0,0,0
"15001020900","Census Tract 209, Hawaii County, Hawaii",B01003_001,4776,636,31922.3861606243,31662.6254960256,122.385740077007,108.102334210504,28.3040438125706,0.968546498625074,0,0,44.8133705787434,42.8001960524618,10.888069594695,0.0896808649634097,0,0,0.00383385312931172,0.00338641145641694,0.000886651883419766,3.03406673220362e-05,0,0
"15001021003","Census Tract 210.03, Hawaii County, Hawaii",B01003_001,7430,764,37649.1431077213,37348.1453179761,131.877272129059,120.862105861204,35.455054664914,12.8033570899715,0,0,23.0824181719398,18.3675503712683,6.29661033217279,1.56622172739411,0,0,0.00350279611282873,0.00321022195685557,0.000941722752187756,0.000340070345116188,0,0
"15001021011","Census Tract 210.11, Hawaii County, Hawaii",B01003_001,4341,826,273617.435097704,272304.627693428,388.319929249839,554.807748460582,366.868531249871,2.81119531519926,0,0,7.15516356253036,9.04945400315251,6.83868413114547,0.148151969913971,0,0,0.00141920754834639,0.00202767688492683,0.00134080831186386,1.02741819584539e-05,0,0
"15001021013","Census Tract 210.13, Hawaii County, Hawaii",B01003_001,5524,742,147604.563235277,144713.488480718,891.017179279283,1119.63363566691,713.938601916131,166.485337696824,0,0,48.4088227737143,59.4906977121961,39.257055389566,7.30951818724774,0,0,0.00603651513035562,0.00758535922688411,0.00483683286117744,0.00112791457152616,0,0
"15001021014","Census Tract 210.14, Hawaii County, Hawaii",B01003_001,6301,1374,22878.1916646127,22550.1059631557,78.5746056567878,119.119361926641,91.8714423524216,38.5202915212139,0,0,38.6436702355594,58.5839318248711,45.1831694560403,18.9446123271102,0,0,0.00343447623871097,0.00520667733153453,0.00401567762431702,0.00168371224814922,0,0
"15001021015","Census Tract 210.15, Hawaii County, Hawaii",B01003_001,4268,749,20063.5659877068,19820.935561115,59.6375324454693,81.0186479934091,83.0772192266304,18.8970269262791,0,0,11.6186458229014,15.7841368930959,16.1851898723063,3.68153835276507,0,0,0.00297242935189139,0.00403809811491389,0.00414070057523837,0.000941857840119625,0,0
"15001021016","Census Tract 210.16, Hawaii County, Hawaii",B01003_001,4507,772,77184.9287138496,77016.7958836626,56.9916566759348,51.9385863107163,54.7197958659381,4.48279133439064,0,0,4.3030557815452,3.9215325039671,4.13152288772338,0.338465352544412,0,0,0.000738378043817621,0.000672910983739715,0.000708944048763751,5.80785835925282e-05,0,0
"15001021017","Census Tract 210.17, Hawaii County, Hawaii",B01003_001,3764,614,90710.8298826977,89719.8037294928,294.844587231128,349.747420367092,346.4341456067,0,0,0,18.4186731214258,19.7861073877121,16.200510838501,0,0,0,0.00325037911804362,0.00385563025737243,0.00381910457720087,0,0,0
"15001021101","Census Tract 211.01, Hawaii County, Hawaii",B01003_001,3328,463,118787.352652479,117816.134680585,292.079823004249,608.822257521804,70.315891367849,0,0,0,11.8364207434124,29.7067818690725,3.62215015672418,0,0,0,0.00245884613540257,0.00512531211384901,0.000591947625717053,0,0,0
"15001021107","Census Tract 211.07, Hawaii County, Hawaii",B01003_001,1347,405,527955.648026298,527255.887071231,281.940512932837,341.069120009797,76.4368557970047,0.314466327428818,0,0,0.719329118535379,0.870186930229247,0.195017223782852,0.000802313877368575,0,0,0.000534023102104959,0.000646018507965291,0.000144778933766037,5.95630198491889e-07,0,0
"15001021108","Census Tract 211.08, Hawaii County, Hawaii",B01003_001,6401,982,125771.336376119,124119.436538992,489.382064398294,885.108508047724,274.723731038262,2.68553364276886,0,0,25.0184672649983,44.43921907678,14.7505723671649,0.150812352954373,0,0,0.00389104607217338,0.00703744218317605,0.00218431113919869,2.13525094043509e-05,0,0
"15001021203","Census Tract 212.03, Hawaii County, Hawaii",B01003_001,6791,1361,2252881.87512785,2247425.39728351,1649.00841894717,2793.51849194284,1013.95093345005,0,0,0,17.6180074807027,25.6161616745773,22.9069405789652,0,0,0,0.000731955118087844,0.00123997557208112,0.00045006839668081,0,0,0
"15001021204","Census Tract 212.04, Hawaii County, Hawaii",B01003_001,2982,596,424786.494234852,423706.560003801,419.010658008861,482.543983845753,178.379589196406,0,0,0,3.00005793676973,3.4986903482514,1.17980066421026,0,0,0,0.000986402966421062,0.00113596828146558,0.000419927638042525,0,0,0
"15001021300","Census Tract 213, Hawaii County, Hawaii",B01003_001,7497,1253,902544.580096736,898864.321947328,1262.49191136036,1776.60005165118,641.166186396164,0,0,0,36.6872403799677,20.6107648927556,11.6793273998705,0,0,0,0.00139881390814517,0.00196843467993654,0.000710398356530425,0,0,0
"15001021402","Census Tract 214.02, Hawaii County, Hawaii",B01003_001,3924,852,46573.1527927834,46015.8334704331,181.568779037567,267.93740520713,107.813138105586,0,0,0,14.6983685025244,21.6840952994529,8.39782937901442,0,0,0,0.00389857177686501,0.00575304417116137,0.00231492032728118,0,0,0
"15001021502","Census Tract 215.02, Hawaii County, Hawaii",B01003_001,4815,753,1042206.71623687,1040440.58627746,564.081443140583,858.120702996312,339.353070536451,4.57474273443222,0,0,4.13681292834407,6.46681293163503,2.51997000975806,0.0335090824750905,0,0,0.000541237582096314,0.000823369001204248,0.00032561013592559,4.38947731113305e-06,0,0
"15001021504","Census Tract 215.04, Hawaii County, Hawaii",B01003_001,6013,776,34122.7986059556,31893.1789936741,884.860389205103,879.147767032396,430.177005697973,35.4344503460452,0,0,129.156515001279,127.875018328174,58.755047878644,2.86507546827933,0,0,0.0259316476184537,0.025764233971095,0.0126067328376428,0.00103843916072759,0,0
"15001021510","Census Tract 215.10, Hawaii County, Hawaii",B01003_001,5102,1228,26159.7507174173,25320.9335706816,338.62096589226,394.72640751474,103.637419338922,1.83235398977558,0,0,91.0630505739465,105.162119404147,23.7247174500226,1.80334001506127,0,0,0.0129443498735944,0.015089073736927,0.00396171280294044,7.00447802262731e-05,0,0
