GEOID,NAME,variable,estimate,moe,coverage_all,coverage_na,coverage_4050,coverage_5060,coverage_6070,coverage_7080,coverage_8090,coverage_90,noise4050n,noise5060n,noise6070n,noise7080n,noise8090n,noise90n,noise4050p,noise5060p,noise6070p,noise7080p,noise8090p,noise90p
"20001952600","Census Tract 9526, Allen County, Kansas",B01003_001,1771,236,784451.994460783,751471.401814781,19556.2943271101,9305.49988669995,3307.79843219099,641,115,55,44.1508180205709,21.0083477583274,7.46777503884989,1.44713890463154,0.25962710457508,0.124169484796778,0.0249298803052348,0.0118624210944819,0.00421669962667978,0.000817130945585282,0.000146599155604224,7.01126396368027e-05
"20001952700","Census Tract 9527, Allen County, Kansas",B01003_001,1880,202,269369.137550446,266031.665520492,1509.41140899062,1277.25760132074,549.80301964283,1,0,0,16.6506733838571,10.9066928213881,5.90778659252648,0.0253259127548137,0,0,0.00560350537079604,0.00474166273440121,0.00204107651174354,3.71237777680721e-06,0,0
"20001952800","Census Tract 9528, Allen County, Kansas",B01003_001,4167,319,35274.7784245626,33922.734928848,590.574989363551,515.373325541615,245.667761534452,0.427419275045395,0,0,187.647306428286,80.2439685449429,16.4304051525248,0.0272382576183241,0,0,0.0167421317933019,0.0146102498317254,0.00696440268391278,1.21168521571144e-05,0,0
"20001952900","Census Tract 9529, Allen County, Kansas",B01003_001,1824,266,37118.6178760579,35196.6822264902,870.180258137203,754.412575186579,295.770235489123,1.57258075475693,0,0,60.2092067438762,33.3777468883727,6.10524568010991,0.0270629697867133,0,0,0.0234432289758958,0.0203243713897329,0.00796824484351017,4.23663607305613e-05,0,0
"20001953000","Census Tract 9530, Allen County, Kansas",B01003_001,2861,225,327847.048917045,322017.90986897,2605.51046412262,2142.54883674133,1078.07974721096,3,0,0,72.1002528910528,102.782563000517,7.01271845186295,0.00587198805374861,0,0,0.00794733541976122,0.00653520854867738,0.00328836190770087,9.15060852281481e-06,0,0
"20003953600","Census Tract 9536, Anderson County, Kansas",B01003_001,4907,286,378728.123401022,349780.88758958,18107.1204018637,7332.79520024009,2962.69883932305,437.882454911247,87.9999998840503,18.738915219903,1268.93139467139,567.05760618863,159.582397595292,17.5871160351369,4.49619955566773,0.404015141783179,0.0478103401438998,0.0193616337080826,0.00782275900906877,0.00115619207514618,0.000232356654937057,4.94785416293498e-05
"20003953700","Census Tract 9537, Anderson County, Kansas",B01003_001,2970,286,1301142.6628995,1260150.45946417,24610.551158219,12049.1999145246,3645.30127650127,472.151086077094,168,47,56.3585324639512,26.9278077419078,8.04358331842337,1.06258519105453,0.366149322519049,0.0909918065745862,0.0189145678333045,0.00926047562507393,0.00280161536504998,0.000362874187081793,0.000129117278827538,3.61220958624661e-05
"20005081600","Census Tract 816, Atchison County, Kansas",B01003_001,4426,299,1119148.50120984,1077315.73619858,25235.739244648,12319.6374314479,3643.76403907657,422.704977426678,184.042588880286,26.876729786396,108.399635105916,54.2193591303869,16.7169372056562,1.77925478206488,0.88875648858857,0.125946543386315,0.0225490533359668,0.0110080453292212,0.00325583605315784,0.000377702312936771,0.000164448765004223,2.40153382302181e-05
"20005081701","Census Tract 817.01, Atchison County, Kansas",B01003_001,3393,330,56222.7112691199,50377.853166407,3972.36900410522,1643.71203300066,161.848063275993,42.539176712613,17.9588278066367,6.4309978117235,583.551379948998,92.5172705124437,4.91966255720934,1.29305467517816,0.545890824662007,0.195481728353337,0.0706541700753416,0.0292357304707833,0.00287869545282651,0.000756619091331113,0.000319423012538005,0.000114384341604239
"20005081702","Census Tract 817.02, Atchison County, Kansas",B01003_001,2217,451,29132.7278356836,28503.799926694,548.769653863274,80.1582551263273,0,0,0,0,41.7613595773438,6.10004159642736,0,0,0,0,0.0188368784742191,0.00275148470745483,0,0,0,0
