GEOID,NAME,variable,estimate,moe,coverage_all,coverage_na,coverage_4050,coverage_5060,coverage_6070,coverage_7080,coverage_8090,coverage_90,noise4050n,noise5060n,noise6070n,noise7080n,noise8090n,noise90n,noise4050p,noise5060p,noise6070p,noise7080p,noise8090p,noise90p
"25001010100","Census Tract 101, Barnstable County, Massachusetts",B01003_001,2972,19,28772.749255885,26630.2336470489,754.493328053737,997.909615931051,185.618658644322,204.494006206995,0,0,255.174848092895,274.650377834319,28.1328776564941,13.7646090370132,0,0,0.0262224968960662,0.0346824562038313,0.00645119647738759,0.00710721121531925,0,0
"25001010206","Census Tract 102.06, Barnstable County, Massachusetts",B01003_001,3662,326,63015.1317305263,59975.1654058768,1003.02982043475,1407.76303701685,556.803242422815,72.370224775048,0,0,58.0500541849394,80.8417039199462,28.7950725082001,3.89839739449647,0,0,0.0159172851486535,0.022340079253296,0.00883602441400728,0.00114845788285466,0,0
"25001010208","Census Tract 102.08, Barnstable County, Massachusetts",B01003_001,1076,324,62517.9385763968,59368.2666232218,1000.97500002757,1261.40693765002,617.784021423315,269.505994074047,0,0,17.9659618410058,22.6534512265373,11.2721455421992,4.75904859897525,0,0,0.0160110045663834,0.0201767199362881,0.0098817081223557,0.00431085861451927,0,0
"25001010304","Census Tract 103.04, Barnstable County, Massachusetts",B01003_001,2495,242,25127.4622055551,23559.0394471227,478.082926719959,830.948842171463,222.186874937324,37.2041146037227,0,0,49.4424162335345,87.6754487486061,20.5641390508561,3.14783806531803,0,0,0.0190263116429746,0.033069349995391,0.00884239216518267,0.00148061568252992,0,0
"25001010306","Census Tract 103.06, Barnstable County, Massachusetts",B01003_001,2401,241,19644.8280328445,18331.8583789697,604.906904359203,499.945419129706,178.632062202902,29.4852681830525,0,0,86.9668805307258,72.0568794859824,24.8250258649067,4.29270149843685,0,0,0.0307921710155898,0.0254492133142544,0.00909308352835888,0.00150091760201492,0,0
"25001010400","Census Tract 104, Barnstable County, Massachusetts",B01003_001,2997,326,26451.9838223743,23922.6866133717,792.366379927303,1054.43361642167,471.80304853616,210.694164117449,0,0,145.178870721358,200.158711681983,70.6357224760383,38.4661373774781,0,0,0.029954894319007,0.0398621753098831,0.0178362066037969,0.00796515548823354,0,0
"25001010500","Census Tract 105, Barnstable County, Massachusetts",B01003_001,2815,323,33728.4130331389,32749.1952517274,419.771035739635,421.917913448589,137.528832223266,0,0,0,55.8128017448724,54.6852516240951,20.2270064783098,0,0,0,0.0124456207093764,0.0125092726133911,0.00407753641086348,0,0,0
"25001010600","Census Tract 106, Barnstable County, Massachusetts",B01003_001,2959,259,30359.0575788868,29243.3189111995,366.749408369011,603.850262982947,145.138996335361,0,0,0,88.1532147444963,143.705416651881,27.7184819488329,0,0,0,0.0120803950325542,0.0198902835311625,0.00478074775405078,0,0,0
"25001010700","Census Tract 107, Barnstable County, Massachusetts",B01003_001,3050,256,42226.1245993898,41163.8574440603,373.96865568409,449.850218640504,238.448281004861,0,0,0,48.2044154714019,53.8994962146184,30.4831744238189,0,0,0,0.00885633382726991,0.0106533626495055,0.00564693737033843,0,0,0
"25001010800","Census Tract 108, Barnstable County, Massachusetts",B01003_001,4393,548,34423.3557134883,32446.5489575736,792.4132095405,881.850814021353,302.5427323529,0,0,0,110.332891438983,125.622765598014,49.8506942083522,0,0,0,0.0230196386469668,0.025617804997315,0.00878887970339141,0,0,0
