GEOID,NAME,variable,estimate,moe,coverage_all,coverage_na,coverage_4050,coverage_5060,coverage_6070,coverage_7080,coverage_8090,coverage_90,noise4050n,noise5060n,noise6070n,noise7080n,noise8090n,noise90n,noise4050p,noise5060p,noise6070p,noise7080p,noise8090p,noise90p
"24001000100","Census Tract 1, Allegany County, Maryland",B01003_001,3667,424,549034.621848911,536443.584284046,5309.85541642842,4594.7710132776,1469.03522973321,1212.37590542569,4,1,34.3506168374763,30.8620069412103,10.4777756739718,8.84380164902831,0.0213404066783252,0.00533510166958129,0.00967125788633716,0.00836881834119022,0.0026756695684985,0.00220819572605992,7.28551504917801e-06,1.8213787622945e-06
"24001000200","Census Tract 2, Allegany County, Maryland",B01003_001,3836,444,142156.002348075,132685.819881887,5464.76378366318,3092.73516300261,659.280908772635,239.807023555972,8.59558719396591,5,323.815709529629,183.624204087685,35.6132055809568,7.41133630916305,0.861189956184556,0.500948880368005,0.0384420192844371,0.0217559238577202,0.0046377282554581,0.0016869285826482,6.04658758827451e-05,3.51726266735983e-05
"24001000500","Census Tract 5, Allegany County, Maryland",B01003_001,2313,352,12882.9868645307,11040.5394073726,630.583917776367,687.151638345775,340.08856078227,184.551711578853,0.071628674864769,0,276.479955307953,258.908138006422,107.230283457989,52.0304386410726,0.0652905642882585,0,0.0489470279219551,0.0533379134490645,0.0263982696216665,0.0143252270237858,5.55994317295907e-06,0
"24001000600","Census Tract 6, Allegany County, Maryland",B01003_001,2900,352,4639.57347040178,3628.04955907989,620.418000328587,355.055349601555,28.4369995454326,6.61356184631586,1,0,634.838526065112,346.275660368305,41.7619142062329,10.3048476516164,1.68020843940833,0,0.133723068356726,0.0765275842416625,0.00612922712116682,0.00142546764018442,0.000215537054511479,0
"24001000700","Census Tract 7, Allegany County, Maryland",B01003_001,3292,426,2036.81584283385,389.733080129139,908.783087086995,581.3046928033,137.264114474878,16.3264555335045,1.40441280603409,2,1536.64472289923,913.009231876831,189.346496996327,22.3266238331725,1.92055136293767,2.73502399677072,0.446178327944755,0.285398748663759,0.0673915194433583,0.00801567583586215,0.00068951388559513,0.000981924805345864
"24001000800","Census Tract 8, Allegany County, Maryland",B01003_001,1991,310,4209.83480339732,1902.05649006642,1392.440451578,758.448786037741,124.804477254918,29.0845984155312,3.00000004470348,0,735.733157096339,544.486875175864,112.044981615335,17.4183936901571,2.80311645616584,0,0.330758929175632,0.180161175309225,0.0296459322238016,0.0069087267728558,0.000712617046702757,0
"24001001000","Census Tract 10, Allegany County, Maryland",B01003_001,2245,388,1340.10913140417,232.403856039658,488.062732296133,485.987034389196,105.487852652092,22.2861365306453,4.88151949644089,1,823.579589483094,756.243016255911,159.846924657512,32.3625061318958,6.49671351738275,2.00540274048395,0.364196258990297,0.362647356846214,0.0787158673723546,0.0166300907951384,0.00364262833678779,0.000746207884541613
"24001001100","Census Tract 11, Allegany County, Maryland",B01003_001,1174,185,874.071681815782,316.755538505036,359.732491970994,151.425607679528,27.9642189182341,18.1938247419894,0,0,481.402897836627,199.81574048946,36.372739480528,23.4388173783692,0,0,0.411559485857832,0.173241635474289,0.0319930498836683,0.020815025953242,0,0
"24001001200","Census Tract 12, Allegany County, Maryland",B01003_001,3078,451,7905.54777508624,6190.47276747393,776.964309883449,693.841720878903,177.209650964956,66.0593258849985,1,0,308.769899412862,276.767144601427,71.9322121443957,27.052233065656,0.415104388938128,0,0.0982808948839695,0.0877664319562391,0.0224158598501447,0.0083560719338361,0.000126493448455454,0
"24001001300","Census Tract 13, Allegany County, Maryland",B01003_001,5531,308,11386.0723232026,9631.91410486571,793.063058533939,702.502855425775,175.31166153989,79.280642837286,4,0,729.574754923347,618.229559985675,137.919812608762,29.054211331841,4.88354367233181,0,0.0696520306583536,0.0616984360791571,0.0153970268731421,0.00696294917042881,0.000351306393149179,0
"24001001401","Census Tract 14.01, Allegany County, Maryland",B01003_001,3642,447,42219.2464991022,39890.5735386235,728.619766855612,966.584918931347,415.78189468102,216.686380010724,1,0,59.1342969781744,80.259984218669,32.2457688505198,15.8429412891317,0.0508085325874724,0,0.0172580002551942,0.0228944142561119,0.0098481600018575,0.00513240756239769,2.36858798515333e-05,0
"24001001402","Census Tract 14.02, Allegany County, Maryland",B01003_001,1740,224,3332.487000732,2839.70762183043,151.042513960041,255.321314837143,77.1432392327115,9.27231087167274,0,0,78.8642158942384,133.311574124384,40.2789977081482,4.84137549918925,0,0,0.045324262008183,0.0766158471979217,0.0231488492575564,0.00278239971217773,0,0
"24001001502","Census Tract 15.02, Allegany County, Maryland",B01003_001,2127,296,26451.998525339,23456.7078514501,1539.91373695526,1169.06444066632,242.810540340841,32.5019559264183,10,1,123.824160785669,94.0042417934996,19.5243478034464,2.61347588497969,0.804098033637231,0.0804098033637231,0.0582154023439909,0.0441956943081804,0.00917928904722443,0.00122871456745637,0.000378043269222958,3.78043269222958e-05
"24001001503","Census Tract 15.03, Allegany County, Maryland",B01003_001,1766,254,33190.2491690816,32629.4172864279,227.447374343057,285.021052448777,48.3634558618069,0,0,0,11.2138421891479,13.427622779012,2.11440096536395,0,0,0,0.00685283720481786,0.00858749360382294,0.00145715856531924,0,0,0
"24001001600","Census Tract 16, Allegany County, Maryland",B01003_001,1857,273,21543.4177776329,21202.8853288772,125.006883605383,214.761033374059,0.764531776309013,0,0,0,10.7753461057702,18.5119762839899,0.0659011268898964,0,0,0,0.00580255579201409,0.0099687540570759,3.54879520139453e-05,0,0,0
"24001001700","Census Tract 17, Allegany County, Maryland",B01003_001,4278,518,36440.8378345182,34954.7048687456,626.803781166207,586.725187401738,212.773514205939,59.8304829987525,0,0,180.009746237783,118.363930115082,49.5860227042742,6.59321762472404,0,0,0.017200586441305,0.016100760088616,0.00583887547185843,0.00164185256306261,0,0
"24001001800","Census Tract 18, Allegany County, Maryland",B01003_001,4946,485,10083.2657001955,9156.06819120713,339.577452679125,334.298647643096,138.379386976913,114.942021689218,0,0,230.177224242345,172.056731691808,49.7225358636845,35.567564477844,0,0,0.0336773286329787,0.0331538072666889,0.0137236676183422,0.0113992852223451,0,0
"24001001900","Census Tract 19, Allegany County, Maryland",B01003_001,2653,354,69677.7608270944,67389.5652570528,844.227278565057,765.704009368928,481.753669010941,196.510613096687,0,0,29.4489834233086,27.0491263854516,17.8832357707703,6.18562112267755,0,0,0.0121161654528481,0.010989216649327,0.00691402340276712,0.00282027738497982,0,0
"24001002000","Census Tract 20, Allegany County, Maryland",B01003_001,5003,592,78557.8876260723,73984.3846306339,2083.40851219526,1674.39103617674,754.831761680774,47.8814190030098,11.9902663826942,1,137.561311694296,110.742305224368,41.1501305935147,3.67420882994879,0.785903548771198,0.0200010829988239,0.0265206788923867,0.0213141046274904,0.00960860563453154,0.000609504919874126,0.000152629694420587,1.2729466514679e-05
"24001002100","Census Tract 21, Allegany County, Maryland",B01003_001,3166,426,69658.4454160801,69255.9782717632,240.575783759356,119.518755660854,42.3726048966984,0,0,0,10.4930225821718,5.94682306926187,2.30143176873405,0,0,0,0.00345364847467326,0.00171578270153678,0.000608290992479097,0,0,0
"24001002200","Census Tract 22, Allegany County, Maryland",B01003_001,4037,644,67909.1815501877,64981.6034294334,1436.1439607897,980.305806351942,492.254286008109,13.8740676045418,2,3,107.647203473832,81.9108301976991,39.4376546745728,0.452872572688944,0.0652833164140981,0.0979249746211471,0.0211480086787429,0.0144355414683868,0.00724871475066023,0.000204303266330611,2.94510985752629e-05,4.41766478628943e-05
"24001002300","Census Tract 23, Allegany County, Maryland",B01003_001,5760,510,35661.3064754568,33505.0589939433,1165.80368493949,710.486965686243,249.585304900887,28.324674172567,1.04685181425884,1,391.865058158924,247.152597760064,73.9012192151953,5.91364598949861,0.219331874101615,0.112497962921552,0.0326909976150715,0.0199231894707846,0.00699877064438622,0.000794269110473026,2.93553971439414e-05,2.80415974296463e-05
"24003701101","Census Tract 7011.01, Anne Arundel County, Maryland",B01003_001,4291,426,9452.98670693727,9212.27873380162,95.2233295329042,143.347684178147,2.12805584388661,0.00890358071774244,0,0,47.6277830894768,65.0320808056072,1.15490751266358,0.00483202181468467,0,0,0.0100733590858668,0.0151642743846184,0.000225119944612309,9.41880169069567e-07,0,0
"24003701103","Census Tract 7011.03, Anne Arundel County, Maryland",B01003_001,4087,673,2891.73129240922,2849.3197721852,15.5206628292799,26.890857394741,0,0,0,0,37.40040032093,64.7993479788141,0,0,0,0,0.00536725624196881,0.00929922412408422,0,0,0,0
"24003701104","Census Tract 7011.04, Anne Arundel County, Maryland",B01003_001,3369,419,4476.07666044194,4064.90063698084,115.795619351965,196.167333485559,94.2219741865993,4.99109643697739,0,0,87.1680474937328,149.224500593072,68.0008119080268,3.59868810464382,0,0,0.025869891902283,0.0438257314087624,0.0210501252177608,0.00111506053528685,0,0
"24003701201","Census Tract 7012.01, Anne Arundel County, Maryland",B01003_001,3733,723,9483.3312074579,9172.054290339,141.357524639228,168.919392479668,1,0,0,0,58.9067690323205,66.8800345724767,0.420400001883222,0,0,0,0.0149058934615783,0.017812242215776,0.000105448178295574,0,0,0
"24003701202","Census Tract 7012.02, Anne Arundel County, Maryland",B01003_001,4246,745,12391.651689575,12187.841624679,74.4540349370509,128.379604430374,0.976425528526306,0,0,0,38.1687702383167,55.1213346511096,0.239223448495464,0,0,0,0.00600840281846273,0.0103601688980961,7.87970444123898e-05,0,0,0
"24003701301","Census Tract 7013.01, Anne Arundel County, Maryland",B01003_001,4132,546,42771.3612781518,41401.6602360239,461.755370799143,671.832348424028,234.425406009038,1.6879168957239,0,0,48.7413517644746,72.5774305309574,24.4428296447798,0.193122754989489,0,0,0.010795900738259,0.0157075278491828,0.00548089653926413,3.9463716965822e-05,0,0
"24003701302","Census Tract 7013.02, Anne Arundel County, Maryland",B01003_001,3646,535,69584.6290637958,68403.2708158143,414.437157787528,534.549902234299,210.13084020559,22.2403477541411,0,0,21.5241476120923,27.7034494628748,12.0425603668524,1.12476828091159,0,0,0.00595587219998785,0.00768201123475443,0.00301978817783077,0.000319615812477077,0,0
"24003701400","Census Tract 7014, Anne Arundel County, Maryland",B01003_001,3889,468,67423.7835429162,64541.4663271754,851.149879657169,1225.64450856872,713.715383709401,91.8074438055046,0,0,55.8860254953298,76.5526795008578,46.2595741320755,5.60738471408887,0,0,0.0126238818845786,0.0181782220481379,0.0105855136897666,0.00136164775960797,0,0
"24003702100","Census Tract 7021, Anne Arundel County, Maryland",B01003_001,6260,791,30267.685965812,25760.9378979498,4185.60044577291,285.219209755771,21.7099150791764,11.5538203199394,2.66467693448067,0,1227.48288979178,46.2953428117087,4.92495925515129,2.62101874233583,0.604489943078882,0,0.138286106526301,0.00942322482392383,0.00071726378764793,0.000381721296203142,8.80370219742095e-05,0
"24003702204","Census Tract 7022.04, Anne Arundel County, Maryland",B01003_001,4500,583,2819.91224269125,2393.07557209044,152.344747427851,160.849838311784,76.1992651065812,37.4428197545931,0,0,247.349693641182,262.873290380669,125.124860375707,62.6545418192538,0,0,0.0540246413067298,0.0570407248412359,0.0270218569049718,0.0132780088641548,0,0
"24003702205","Census Tract 7022.05, Anne Arundel County, Maryland",B01003_001,5284,632,5142.96091287603,4606.96067624972,170.292955328943,211.980630727783,82.1872810740024,71.5393694955856,0,0,135.932342002808,170.497889811412,63.5292494406612,55.2986105650637,0,0,0.0331118509772443,0.0412176243060809,0.0159805377614744,0.0139101522853261,0,0
"24003702206","Census Tract 7022.06, Anne Arundel County, Maryland",B01003_001,7236,833,4007.64345756989,3748.93768042863,79.427669705241,179.278107436021,0,0,0,0,137.212597411271,308.978255042151,0,0,0,0,0.0198190459171744,0.0447340461630611,0,0,0,0
"24003702208","Census Tract 7022.08, Anne Arundel County, Maryland",B01003_001,8399,1208,4652.67651340173,4337.1728356709,111.717809993221,125.44261627458,64.1953025795519,14.1479488834739,0,0,255.918577538145,316.25795895555,160.098743628954,17.9354975032294,0,0,0.0240115145919612,0.0269613879050588,0.0137974996530796,0.00304081937412189,0,0
"24003702209","Census Tract 7022.09, Anne Arundel County, Maryland",B01003_001,4063,330,2417.09010292519,2124.35465978362,87.0705088838004,136.448096712842,36.9660649271682,32.2507726177573,0,0,142.356603813821,219.491194846741,59.5176618053026,56.698481121953,0,0,0.0360228643435454,0.0564513902678723,0.0152936230562656,0.0133428094297052,0,0
"24003702300","Census Tract 7023, Anne Arundel County, Maryland",B01003_001,5495,510,46321.7214028223,42464.1823361908,1110.59425623796,1513.00215124193,818.710359306774,371.235617087107,43.9966827578028,0,106.275658268654,154.113777650951,75.8228405086762,33.7751826222403,3.97068810121118,0,0.0239756689217145,0.032662908575538,0.0176744372728966,0.00801428802394394,0.000949806730522802,0
"24003702402","Census Tract 7024.02, Anne Arundel County, Maryland",B01003_001,7244,760,14895.2521473825,13005.4941227591,574.310472123267,808.448169974587,280.020273193812,208.628377541649,18.3507317900658,0,246.448532531073,355.540965820375,119.772121812278,85.8368673954372,6.83498002357354,0,0.0385566129690653,0.0542755612308753,0.0187992972809808,0.014006367631602,0.00123198530702889,0
"24003702500","Census Tract 7025, Anne Arundel County, Maryland",B01003_001,7505,1292,11323.034295571,10575.903786379,212.35918636166,266.548012850977,207.9152781991,60.3080317803542,0,0,253.222235381811,304.458011070379,201.619767388932,104.142341556541,0,0,0.0187546183132841,0.0235403343214492,0.0183621521203398,0.00532613698820496,0,0
"24003702601","Census Tract 7026.01, Anne Arundel County, Maryland",B01003_001,5709,978,9673.18494132387,9470.00452961761,94.7738969449565,80.7475714792963,27.6589432820092,0,0,0,44.6792588288134,24.3134807485285,6.63357337378174,0,0,0,0.009797589679081,0.00834756824862744,0.00285934192820506,0,0,0
"24003702602","Census Tract 7026.02, Anne Arundel County, Maryland",B01003_001,6469,832,11286.4653893346,11010.0510025461,175.369893448054,99.1292574467152,1.91523589380085,0,0,0,99.1867188695072,59.9650989046284,1.05981870470665,0,0,0,0.0155380703700003,0.00878302054958582,0.000169693152615406,0,0,0
"24003702702","Census Tract 7027.02, Anne Arundel County, Maryland",B01003_001,3589,571,19164.5389862558,18962.2034349396,62.9265335871096,113.873730146734,25.5352875823155,0,0,0,14.0286694579005,24.1398968699425,6.46282041493649,0,0,0,0.00328348798957484,0.00594189770118657,0.00133242378544188,0,0,0
"24003702703","Census Tract 7027.03, Anne Arundel County, Maryland",B01003_001,2537,481,4280.12745185732,3369.20645441582,228.926115386188,378.813154666976,192.585903566254,101.595823842566,8.9999999795109,0,158.799283431058,247.671528261891,140.223625762151,83.791689408665,7.31724925924082,0,0.0534858174110792,0.0885051108706106,0.0449953665474807,0.023736635178581,0.0021027411171145,0
"24003702704","Census Tract 7027.04, Anne Arundel County, Maryland",B01003_001,2223,359,2013.13397035396,1266.99175711069,200.725245217822,331.526317701857,150.800508343615,54.988410031423,8.10173194855452,0,214.079644693543,366.665657134618,130.810452949723,47.6991682733948,7.02776958452167,0,0.0997078426839764,0.164681696590498,0.0749083322641959,0.0273148289389576,0.00402443755252414,0
"24003706102","Census Tract 7061.02, Anne Arundel County, Maryland",B01003_001,2343,383,936.407045478086,880.119065746519,22.4256683122367,33.4073610680616,0.454950351268053,0,0,0,51.5738160160044,78.0226967787999,1.02207775765412,0,0,0,0.0239486326171192,0.0356761103297823,0.000485846783687725,0,0,0
"24003706103","Census Tract 7061.03, Anne Arundel County, Maryland",B01003_001,1538,231,635.669537241138,504.940397682749,33.7080375654623,87.4760523255682,9.5450496673584,0,0,0,85.1317850215088,215.970183344796,27.4746838362573,0,0,0,0.0530276119754899,0.137612465598433,0.0150157418409332,0,0,0
"24003706302","Census Tract 7063.02, Anne Arundel County, Maryland",B01003_001,3399,376,2169.03655446238,1979.89691377162,56.2412177920341,126.898422883824,6.00000001490116,0,0,0,91.2786963315832,208.82929096631,10.3027357897955,0,0,0,0.0259291240050006,0.0585045109649048,0.0027662051165331,0,0,0
"24003706303","Census Tract 7063.03, Anne Arundel County, Maryland",B01003_001,2433,310,1225.51268041287,1167.67152511947,13.7503040824085,36.4125122660771,7.67833894491196,0,0,0,42.1856440606402,107.350145338217,27.1882429353382,0,0,0,0.0112200422746961,0.02971206487542,0.00626540962621876,0,0,0
"24003706304","Census Tract 7063.04, Anne Arundel County, Maryland",B01003_001,2078,258,1483.12173181894,1477.92366505536,1.29525653272867,3.90281023085117,0,0,0,0,2.55852620855015,7.7092390660207,0,0,0,0,0.000873331234341859,0.00263148340902851,0,0,0,0
"24003706402","Census Tract 7064.02, Anne Arundel County, Maryland",B01003_001,3587,505,1407.28570171749,1366.56385330125,13.5434165000916,24.2053953289105,2.97303658723831,0,0,0,33.2424659502571,58.4841193142413,7.10020338775173,0,0,0,0.00962378604682955,0.0172000577419138,0.00211260342062023,0,0,0
"24003706403","Census Tract 7064.03, Anne Arundel County, Maryland",B01003_001,4252,1029,1558.70303479456,1346.41794440802,73.1903735347905,119.014961556677,20.079755295068,0,0,0,209.284468153315,349.555544842912,64.7478700796814,0,0,0,0.0469559447187689,0.0763551227526567,0.0128823482387808,0,0,0
"24003706404","Census Tract 7064.04, Anne Arundel County, Maryland",B01003_001,2100,632,922.608588450751,822.772711420554,35.8401761353016,42.2118634262988,21.7838374685962,0,0,0,107.493116607924,118.628370779811,74.2881311721881,0,0,0,0.0388465667715977,0.0457527319328137,0.0236111366632471,0,0,0
"24003706500","Census Tract 7065, Anne Arundel County, Maryland",B01003_001,5766,972,3277.95118907514,2805.11174988142,156.229851424112,238.061095605028,71.9960853916127,6.55240677297115,0,0,292.99518235702,463.049661580364,129.406004594189,7.83031807608998,0,0,0.0476608229996834,0.0726249665945135,0.0219637454125502,0.00199893360060065,0,0
"24003706600","Census Tract 7066, Anne Arundel County, Maryland",B01003_001,5058,544,5309.65891019447,4669.5578525806,199.607171565527,369.496835065309,51.8360048859759,16.6135097462684,2.54753635078669,0,179.091518903907,348.094251222551,40.9789718987912,10.0303820278925,1.52703548782526,0,0.0375932192522356,0.0695895614605074,0.0097625865922294,0.00312892222029003,0.00047979284430031,0
"24003706700","Census Tract 7067, Anne Arundel County, Maryland",B01003_001,5839,2213,2384.75915201521,2258.67072668066,38.2321348525584,71.8562904819846,16,0,0,0,93.6100550093056,175.937632850578,39.1754445815014,0,0,0,0.0160318641906672,0.0301314664926492,0.00670927292027769,0,0,0
"24003707001","Census Tract 7070.01, Anne Arundel County, Maryland",B01003_001,5640,685,34134.5488353983,33562.187283267,195.45627254076,336.943707890598,39.9615716999979,0,0,0,27.501955753929,52.8492050080449,4.60108044587807,0,0,0,0.00572605407744739,0.00987104618008541,0.00117070748152256,0,0,0
"24003707002","Census Tract 7070.02, Anne Arundel County, Maryland",B01003_001,4414,663,13780.3910991674,13367.4548902879,175.430293242272,197.583284069249,39.9226315679989,0,0,0,54.4533461876516,57.2957056772236,10.259940894044,0,0,0,0.0127304292004362,0.014338002647921,0.00289706085122728,0,0,0
"24003708001","Census Tract 7080.01, Anne Arundel County, Maryland",B01003_001,3795,669,48795.5352149684,46834.1673090865,571.023698691861,877.460390736663,510.883816452446,2.00000000093132,0,0,44.876740965335,67.7412894932198,39.5855196687835,0.150375014869899,0,0,0.0117023759689533,0.0179823909476762,0.0104698885707832,4.09873565710538e-05,0,0
"24003708004","Census Tract 7080.04, Anne Arundel County, Maryland",B01003_001,6362,1052,77610.2568016224,74594.7409197173,931.964419906502,1206.25364230281,637.142447826633,240.155371869143,0,0,81.12193324509,117.38620111553,48.8142170751985,31.8265672225345,0,0,0.0120082635764068,0.0155424513719377,0.00820951345973789,0.00309437671985802,0,0
"24003730101","Census Tract 7301.01, Anne Arundel County, Maryland",B01003_001,2114,358,5813.45616487131,5720.175108158,16.8244921676815,76.4565645456314,0,0,0,0,6.11804328333934,27.802596745484,0,0,0,0,0.00289406020971586,0.0131516540896329,0,0,0,0
"24003730102","Census Tract 7301.02, Anne Arundel County, Maryland",B01003_001,10577,1219,24325.5030733866,22723.0785464205,1020.10711673747,497.058588962104,85.2588212664705,0,0,0,560.751022182908,246.419294611564,65.0878495711201,0,0,0,0.0419357048304389,0.02043364067179,0.00350491502721472,0,0,0
"24003730204","Census Tract 7302.04, Anne Arundel County, Maryland",B01003_001,6556,1065,5317.27157263195,4996.81593393569,106.523005663359,213.932633032906,0,0,0,0,149.93464402487,288.494940062243,0,0,0,0,0.0200333957384524,0.0402335352089254,0,0,0,0
