GEOID,NAME,variable,estimate,moe,coverage_all,coverage_na,coverage_4050,coverage_5060,coverage_6070,coverage_7080,coverage_8090,coverage_90,noise4050n,noise5060n,noise6070n,noise7080n,noise8090n,noise90n,noise4050p,noise5060p,noise6070p,noise7080p,noise8090p,noise90p
"26001000100","Census Tract 1, Alcona County, Michigan",B01003_001,1702,115,188505.922108994,186389.598000386,1614.58091307245,426.163433670194,75.5797618650831,0,0,0,14.4924696338275,3.78626670997438,0.630679737787274,0,0,0,0.00856514689304511,0.00226074294591014,0.000400941047472148,0,0,0
"26001970100","Census Tract 9701, Alcona County, Michigan",B01003_001,2486,203,226172.021010685,221663.574234809,1815.2065182295,2253.06194507959,440.178312566946,0,0,0,21.7920078630598,30.7724255886696,9.98002191220561,0,0,0,0.00802577838813999,0.00996171823115625,0.00194621028100621,0,0,0
"26001970400","Census Tract 9704, Alcona County, Michigan",B01003_001,2836,208,476260.4730613,471627.114342511,1614.02591486275,3013.36859928781,5.9642046383924,0,0,0,10.4838403348497,19.1234940327832,0.0433283891806601,0,0,0,0.00338895626691029,0.00632714400991231,1.25229889435413e-05,0,0,0
"26001970500","Census Tract 9705, Alcona County, Michigan",B01003_001,1984,140,1023186.59179979,1017947.87891407,2435.89716181263,2772.89164845163,29.9240754619241,0,0,0,6.27254983552807,5.60844890703081,0.0362157447588917,0,0,0,0.00238069691426259,0.00271005471599671,2.92459612955711e-05,0,0,0
"26001970600","Census Tract 9706, Alcona County, Michigan",B01003_001,1388,152,85032.1572446397,83482.2478262304,535.754735354334,699.880873132172,314.273809922859,0,0,0,10.9188258378531,10.8637306027852,7.92071182912565,0,0,0,0.00630061323521352,0.00823077875254413,0.00369594069004606,0,0,0
"26003000100","Census Tract 1, Alger County, Michigan",B01003_001,3423,254,1102180.44090856,1091815.04506871,3922.09004362284,4887.76200221084,1528.09544171267,26.448352297768,1,0,91.5960896287731,97.8065781987717,84.8992964530584,1.00874497036391,0.0131758768968504,0,0.00355848271122444,0.00443462959493431,0.00138642946744094,2.39963905329021e-05,9.07292456737549e-07,0
"26003000200","Census Tract 2, Alger County, Michigan",B01003_001,2550,243,644871.628526761,636876.310603474,2931.68101359799,3575.79205009583,1474.38647904256,7.4583805501461,5,1,11.508279443526,14.7184473195107,5.77707244501937,0.0400891959637496,0.0268752684944215,0.00537505369888431,0.00454614668084492,0.00554496723365686,0.00228632554731996,1.15656825641176e-05,7.75348112526323e-06,1.55069622505265e-06
"26003000300","Census Tract 3, Alger County, Michigan",B01003_001,3125,264,950601.529237476,943071.256208502,3436.83697747775,3683.8767520612,388.466032195434,18.0932672396302,2,1,11.3636671274736,11.9350812691035,1.30073990682204,0.0641001969658023,0.00708553033753922,0.00354276516876961,0.00361543388241191,0.00387531119902175,0.000408652858476929,1.90334926708394e-05,2.10393097263824e-06,1.05196548631912e-06
"26005030200","Census Tract 302, Allegan County, Michigan",B01003_001,3260,417,33022.9662666533,28050.8943123616,3544.02062926198,1383.66182680333,44.1258499057731,0.263648320542416,0,0,349.917887985212,153.178119929749,3.89294060824479,0.0134018885281936,0,0,0.107319875526771,0.041899986077282,0.00133621702997443,7.98378675051517e-06,0,0
"26005030301","Census Tract 303.01, Allegan County, Michigan",B01003_001,2987,53,104579.195017289,102451.246426761,612.151679463754,915.00147430267,599.795436761808,1,0,0,17.5852745429096,25.4809826540064,20.5931767492428,0.0414235360180319,0,0,0.00585347476964755,0.00874936428944016,0.00573532275384839,9.56213135733811e-06,0,0
