GEOID,NAME,variable,estimate,moe,coverage_all,coverage_na,coverage_4050,coverage_5060,coverage_6070,coverage_7080,coverage_8090,coverage_90,noise4050n,noise5060n,noise6070n,noise7080n,noise8090n,noise90n,noise4050p,noise5060p,noise6070p,noise7080p,noise8090p,noise90p
"38001965600","Census Tract 9656, Adams County, North Dakota",B01003_001,2271,,2845205.92083798,2808248.644336,19706.5099757452,12667.9686325575,3977.7978936441,498.000000003725,76.0000000372529,30.9999999925494,27.5575702385408,20.0399591478888,6.02477723245671,0.911823370421685,0.151138863878527,0.0447531903893316,0.00692621572007031,0.00445239078823037,0.00139807029941528,0.00017503126798536,2.67115991431893e-05,1.08955206951837e-05
"38003967900","Census Tract 9679, Barnes County, North Dakota",B01003_001,1751,151,1797660.51600719,1720709.99953307,48126.1471114944,22466.7505775666,4530.4585332865,1595.44016658314,175.020539539866,56.6995456516743,46.5265651562614,21.740498831974,4.38573148075626,1.52862488334812,0.169229257768669,0.0546154497327855,0.0267715437275042,0.0124977716190083,0.00252019694093808,0.000887509155581164,9.73601733928086e-05,3.15407415064165e-05
"38003968000","Census Tract 9680, Barnes County, North Dakota",B01003_001,2395,154,2532136.97168353,2463982.97554366,39752.5653189116,21717.325297741,4757.74447042967,1745.79970361175,145.254285489442,35.3070636838675,40.217411241269,21.7768150242884,4.63979656550649,1.60112769849589,0.15010161012319,0.0366606464276688,0.0156992160232476,0.00857667872654689,0.00187894435555215,0.000689457056681665,5.73643081372757e-05,1.39435836523461e-05
"38003968200","Census Tract 9682, Barnes County, North Dakota",B01003_001,2519,248,16819.3380936119,12460.2640964982,2202.88177687139,1465.39075579157,431.525266832356,253.276197618397,6,0,327.072580382551,203.914603188654,50.3819585443055,30.7305946587424,0.286339959015828,0,0.130973155103414,0.0871253522365502,0.0256564951861127,0.0150586305007207,0.000356732230876483,0
"38003968300","Census Tract 9683, Barnes County, North Dakota",B01003_001,3927,270,8623.63584577803,4412.66174615768,2466.70121362726,1377.69758638463,288.05241946032,63.9376199357212,7.59186948090792,6.9933907315135,1063.15827001715,493.726050511565,88.2563598647863,18.171779462684,2.40793350111993,2.79481148960606,0.286039584432929,0.159758321318626,0.0334026650257206,0.00741423003929645,0.00088035599098549,0.000810956174006041
"38005940100","Census Tract 9401, Benson County, North Dakota",B01003_001,2524,248,755358.999520968,751670.807512604,1330.1322601717,2050.22475568547,307.834992507473,0,0,0,6.64361389700849,10.1125570040345,4.19534981425187,0,0,0,0.0017609272690406,0.0027142388678571,0.00040753468576226,0,0,0
"38005940200","Census Tract 9402, Benson County, North Dakota",B01003_001,2202,270,516783.974172527,514334.752683344,1120.69272162812,1121.42400154551,207.104766009841,0,0,0,7.65198071539869,4.590665680443,2.39207226515237,0,0,0,0.00216859031556187,0.00217000537476251,0.000400756943636761,0,0,0
"38005956700","Census Tract 9567, Benson County, North Dakota",B01003_001,2134,124,2870125.92790852,2833988.50346439,20486.8439618461,11241.8629538817,3886.71752840118,416,82,24,18.2252478613136,8.65565345375151,3.37089985923746,0.379627334010796,0.0591416764885652,0.0239582905355744,0.00713795996288395,0.00391685355843385,0.00135419755997726,0.000144941375552515,2.8570174988717e-05,8.36200243572204e-06
"38007963100","Census Tract 9631, Billings County, North Dakota",B01003_001,886,115,3318530.94524886,3287249.33718652,14839.7837145778,10195.0570141226,5218.73281240836,918.034521237016,101,9,3.96200866830547,2.72193348910756,1.39332654963296,0.245102004240916,0.0269655463445706,0.00240287046634788,0.00447179307935154,0.00307215969425232,0.00157260332915684,0.000276638830971688,3.04351538877772e-05,2.71204341574253e-06
"38009952300","Census Tract 9523, Bottineau County, North Dakota",B01003_001,2341,189,11508.4495348523,10997.2651566719,224.513002768625,178.165480724798,108.505894687012,0,0,0,38.31050184869,54.4686065252636,28.0111239680346,0,0,0,0.0195085360620218,0.0154812757518065,0.00942836777086363,0,0,0
"38009952400","Census Tract 9524, Bottineau County, North Dakota",B01003_001,2407,170,2564357.67115437,2551126.82630794,6983.27114270225,5047.01842757314,1183.55527614988,15,1,1,7.86962393642449,6.07756600518075,0.731645479809665,0.00750064424998053,0.000500042949998702,0.000500042949998702,0.00272320480924124,0.00196814137292369,0.000461540638212569,5.84941803116241e-06,3.89961202077494e-07,3.89961202077494e-07
"38009952500","Census Tract 9525, Bottineau County, North Dakota",B01003_001,1670,174,2309191.74611528,2292849.94956533,9197.39408320942,5053.48879731145,2000.91366942698,64,18,8,6.65767003608449,3.658260144573,1.4501839461025,0.0464113794201965,0.0130532004619303,0.00580142242752456,0.00398294948814106,0.00218842320297258,0.000866499576223189,2.77153251165332e-05,7.79493518902496e-06,3.46441563956665e-06
"38011965200","Census Tract 9652, Bowman County, North Dakota",B01003_001,1777,139,40855.9068334475,37131.5399581782,1890.42153811967,1214.18648630523,536.967960643411,77.7908902009622,4,1,85.9496653590673,54.5304264844649,24.3525806384638,3.35423671307547,0.183421993839425,0.053002074997261,0.0462704584144009,0.0297187501247975,0.0131429700687444,0.00190403043844023,9.79050597580989e-05,2.44762649395247e-05
"38011965300","Census Tract 9653, Bowman County, North Dakota",B01003_001,1314,139,3316937.93732764,3283455.60620591,16667.6158014604,11322.6805651412,4821.8256453875,577.209109744872,82,11,8.12447756256929,5.4633834592502,2.20257150087171,0.266123477965738,0.0413781963418899,0.0042615728343506,0.00502500080387062,0.00341359433883878,0.00145369787933756,0.000174018664398018,2.47215961074222e-05,3.31631167294688e-06
"38013953300","Census Tract 9533, Burke County, North Dakota",B01003_001,2142,,3248890.23268866,3204826.77527933,24208.5417327831,14789.7199241109,4631.93806051183,333.474191665649,75.7835002541542,24,14.5404124459053,8.96214510634346,2.87563049645471,0.194404215218806,0.0448317118343865,0.0132734745761365,0.00745132645270966,0.00455223749183777,0.00142569853973756,0.000102642492599597,2.33259651223854e-05,7.38713784741767e-06
"38015010100","Census Tract 101, Burleigh County, North Dakota",B01003_001,3468,478,2294.18181553084,376.037487735768,911.70753162224,931.297008979444,60.4118273817003,10,1,3.72795981168747,1472.30392467144,1169.50491788531,66.0935241844168,10.8323078758374,1.08323078758374,4.03824084289473,0.39739985970174,0.405938623815635,0.0263326241070923,0.00435885243806893,0.000435885243806893,0.00162496267141969
"38015010200","Census Tract 102, Burleigh County, North Dakota",B01003_001,4551,617,3190.86787562857,889.149488328621,1493.67725671632,735.162761929692,60.0916101174662,12.6230115387589,0,0.163746997714043,2538.6750560024,672.491216123715,39.9465813996239,7.35695715107173,0,0.0954352011879172,0.468110029915319,0.230395864255229,0.0188323717746002,0.00395598063936516,0,5.1317385769784e-05
