GEOID,NAME,variable,estimate,moe,coverage_all,coverage_na,coverage_4050,coverage_5060,coverage_6070,coverage_7080,coverage_8090,coverage_90,noise4050n,noise5060n,noise6070n,noise7080n,noise8090n,noise90n,noise4050p,noise5060p,noise6070p,noise7080p,noise8090p,noise90p
"39001770100","Census Tract 7701, Adams County, Ohio",B01003_001,4498,444,320418.889038465,312221.969894254,3272.50390274285,3754.48918443528,1134.14903151213,31.7770255208015,4,0,140.932287347952,146.082466140624,35.714413690919,2.43303822730096,0.33293741717582,0,0.0102132053218311,0.0117174402411232,0.00353958231025506,9.91733839916874e-05,1.24836585383698e-05,0
"39001770200","Census Tract 7702, Adams County, Ohio",B01003_001,4786,481,247512.74573564,237086.81546998,5286.02559258045,4229.96249463293,756.025357693728,125.916820734041,25.0000000186265,3,256.631100591171,204.815952313335,37.0998657701514,5.49159053755543,0.935743623363276,0.149550681645643,0.0213565793424888,0.0170898774608998,0.00305449060995515,0.000508728632781313,0.000101004899542944,1.21205879361227e-05
"39001770301","Census Tract 7703.01, Adams County, Ohio",B01003_001,3781,683,239911.400187586,235583.744658179,1230.11049434025,2351.44986739877,706.214785785734,39.8803818821907,0,0,18.9702522787312,36.3285590406566,10.6379568207198,0.591655875024193,0,0,0.00512735323698009,0.00980132609605119,0.00294364830197126,0.000166229624148783,0,0
"39001770302","Census Tract 7703.02, Adams County, Ohio",B01003_001,3385,557,192673.395637097,190747.280639861,760.873337283861,990.824925304162,153.832406674512,20.5843279734254,0,0,15.3320733624634,19.0532839532653,3.56068071508582,0.479959814052706,0,0,0.00394903164896194,0.0051425103192264,0.000798410212088945,0.00010683534125384,0,0
"39001770400","Census Tract 7704, Adams County, Ohio",B01003_001,4528,432,107448.991812298,105192.564643085,754.667391640053,1370.40150081155,131.35827676137,0,0,0,30.1914893688569,63.8154677278347,6.32560210461754,0,0,0,0.00702349439405051,0.0127539726310834,0.00122251753642174,0,0,0
"39001770500","Census Tract 7705, Adams County, Ohio",B01003_001,3586,427,440532.750947418,438096.079050536,1006.465646052,1429.20625083,1,0,0,0,8.0320557253684,9.48551435136849,0.00541412870690223,0,0,0,0.002284655667229,0.00324426787283425,2.26997878784127e-06,0,0,0
"39001770600","Census Tract 7706, Adams County, Ohio",B01003_001,3121,489,138723.475037875,135535.790478654,947.267232590588,1828.98670427176,411.430622358782,0,0,0,58.8786737823589,74.5578077288757,27.5906322524328,0,0,0,0.00682845662806501,0.0131844066317716,0.00296583272763641,0,0,0
"39003010100","Census Tract 101, Allen County, Ohio",B01003_001,4318,234,23025.460054996,20709.5531924539,959.116390562587,847.251250149781,320.917524028322,184.104739160044,2.51695864787325,1.99999999348074,199.140784048646,181.850485057457,66.9254158834125,38.460838934234,0.481898258693914,0.414408099822622,0.0416546026994358,0.0367962789071807,0.0139375075790805,0.00799570296186537,0.000109311980818691,8.686037059428e-05
"39003010200","Census Tract 102, Allen County, Ohio",B01003_001,4203,296,201752.166984797,179114.317800997,10816.6542686187,8191.45278084333,2305.72064523259,1241.61863493174,76.4028541739099,6,444.091260413137,257.019679780076,71.5176751436902,33.6375052267216,2.63054755839983,0.186193169386845,0.0536135716918161,0.0406015603364527,0.0114284801977187,0.00615417744199646,0.00037869657270976,2.97394575219215e-05
"39003010300","Census Tract 103, Allen County, Ohio",B01003_001,1605,213,83678.4644535307,80090.4621092658,1444.72141503366,1336.94502249002,455.478027471341,350.857879269868,0,0,20.8723417302004,19.8701090297908,6.45300241819997,4.65841532334708,0,0,0.01726515208505,0.0159771696483803,0.00544319294630798,0.00419292922690653,0,0
"39003010600","Census Tract 106, Allen County, Ohio",B01003_001,4786,245,166158.942359835,161994.463313008,1611.02878739122,2398.61742396321,140.832835472829,12,2,0,48.1754866735153,73.1624392792964,4.26299795775681,0.342122211409465,0.0616347541961409,0,0.00969570920776783,0.014435680619396,0.00084757903169509,7.22200071183212e-05,1.20366678530535e-05,0
"39003010801","Census Tract 108.01, Allen County, Ohio",B01003_001,4487,348,13175.0609400113,11715.3610497499,641.760945924674,672.753195934286,126.966624284629,17.2191241178662,0,1,228.610665871421,274.732683219735,53.2418550544409,12.5400662369774,0,0.216158459348049,0.0487102829236798,0.0510626249849975,0.00963689085483044,0.00130694834705268,0,7.59009771987545e-05
"39003010802","Census Tract 108.02, Allen County, Ohio",B01003_001,3583,402,26527.6789208693,25629.0789150292,363.086989667849,418.317572748744,99.3330977876467,15.8364306092262,2.02591502666473,0,47.6860336400384,45.2291075146483,8.55627235977427,2.43730057930696,0.515107525112464,0,0.0136870998307435,0.0157690981558003,0.0037445076926614,0.000596977619356201,7.63698562813556e-05,0
"39003010900","Census Tract 109, Allen County, Ohio",B01003_001,4323,425,8130.15602947246,6933.67485355376,461.816291800817,584.382693029649,130.021519258428,20.2606718298048,0,0,230.903769653718,293.799015498369,60.6647037511848,13.8108183421878,0,0,0.0568028817807058,0.0718784105632432,0.0159924998717232,0.00249203972917103,0,0
"39003011000","Census Tract 110, Allen County, Ohio",B01003_001,5254,472,15020.5926075938,13672.0243787758,601.263834386036,692.223757134852,55.0806199407716,1.73563821590506e-05,0,0,261.801474163763,307.903888631901,26.1471349882728,1.39481411171287e-05,0,0,0.0400293017788166,0.0460849831440665,0.00366700711348266,1.15550581874352e-09,0,0
"39003011200","Census Tract 112, Allen County, Ohio",B01003_001,3148,313,16678.1983115861,7474.0796520447,5814.10239531849,2712.39576322595,525.238611295586,139.278286517132,10.7259351611137,2.37766802310944,1170.2648711235,472.790867268158,117.247803501103,27.3612130679986,1.38711678255102,0.269511335170251,0.348604944412942,0.162631221463633,0.0314925270393692,0.00835091920092938,0.000643111141906893,0.000142561443309959
"39003011301","Census Tract 113.01, Allen County, Ohio",B01003_001,4359,462,33681.4867180219,25403.5344248214,4670.59260427435,2541.01806847953,728.903832658038,294.194136919803,42.2436508687679,1,663.618757806427,339.583026860997,126.17975917166,68.9312721822434,10.5780819992152,0.0550226122825059,0.138669431173751,0.0754425744253123,0.0216410824961602,0.00873459474585452,0.00125420980440761,2.96899008161932e-05
"39003011302","Census Tract 113.02, Allen County, Ohio",B01003_001,2832,408,44422.6713628721,38425.6529579038,2668.09310978657,2127.00806665093,779.257640073425,384.057446838589,36.6021416187286,2,157.492449619917,132.651340480375,48.6077487683846,24.4716603046591,2.1086205138224,0.104631920867751,0.0600615187680164,0.0478811381980206,0.0175418905744763,0.00864552794903685,0.000823951835758357,4.50220560502261e-05
"39003011400","Census Tract 114, Allen County, Ohio",B01003_001,2920,27,103775.775131199,95820.4230184782,4638.23006126921,2574.70592292065,585.417415752858,134.998712778091,21,1,155.088514391358,82.3423328403968,19.5978687453474,4.60061939439197,0.703588587900045,0.0229230414487009,0.0446947281810741,0.0248102788889369,0.00564117603566672,0.00130086923087222,0.000202359365405372,9.63616025739866e-06
"39003011500","Census Tract 115, Allen County, Ohio",B01003_001,2661,22,103898.838916438,102012.094968114,686.753804295908,799.778602430943,400.2115415968,0,0,0,17.6929710002412,20.7808061291716,10.7364646206434,0,0,0,0.00660983136537494,0.00769766641063408,0.00385193468734214,0,0,0
"39003011600","Census Tract 116, Allen County, Ohio",B01003_001,2790,211,92999.9591678948,88956.555576229,1469.44799270661,1757.99358626725,499.601805645133,272.105447217327,44.2547598294914,0,45.7190008817795,55.6769813312261,16.986287322453,8.92527427422765,1.38880078518078,0,0.0158005229879057,0.0189031651411105,0.0053720647849231,0.00292586630845815,0.000475857841502891,0
"39003011800","Census Tract 118, Allen County, Ohio",B01003_001,2396,304,11152.1257474078,8833.11888221138,1180.47408629629,795.701326836977,302.311247997804,38.5202040653676,2,0,228.947946901556,163.03453454067,65.9050728430975,10.3934889525297,0.695356692681274,0,0.105851934692422,0.071349744870114,0.0271079482822432,0.00345406830391248,0.000179338006519957,0
"39003011900","Census Tract 119, Allen County, Ohio",B01003_001,2654,360,23354.4420992888,16756.04554949,3084.67586462266,2399.77466312617,658.523319850106,387.937750141253,56.484951954335,11.0000001043081,393.364433440849,269.809632806355,61.714979301831,30.4670014555815,3.45619576976909,0.850942156501824,0.132080905701301,0.102754527508034,0.0281969193291138,0.0166108763588519,0.0024185956450681,0.000471002478138543
"39003012000","Census Tract 120, Allen County, Ohio",B01003_001,2429,296,7857.56895571572,7313.33851305364,226.20007733081,197.375996740186,119.187032968322,1.46733562275767,0,0,69.0425056779715,60.7627162406214,36.6593728503997,0.471677205246132,0,0,0.0287875395819808,0.0251192191697677,0.0151684361460963,0.000186741679395675,0,0
"39003012100","Census Tract 121, Allen County, Ohio",B01003_001,3330,341,39367.0669348533,37361.9501020105,800.02200632781,1037.61289922231,119.358608243056,39.1492340911645,8.9740849584341,0,71.6312534030847,85.6488664846802,9.54662770145198,1.97381111903023,0.244708778268104,0,0.0203221135994645,0.0263573839762918,0.00303194059238847,0.000994466622467729,0.000227959196789664,0
"39003012200","Census Tract 122, Allen County, Ohio",B01003_001,3490,378,2181.91205375818,1716.99999986136,341.301842258375,114.327903471712,9.28230816673022,0,0,0,611.546460103109,180.65439385929,13.5903099031954,0,0,0,0.156423280979867,0.0523980346846662,0.00425420820731162,0,0,0
"39003012300","Census Tract 123, Allen County, Ohio",B01003_001,3967,507,2241.87272801006,421,1471.14012290689,328.983421457699,20.7459677578881,0,0.00321588758379221,0,2721.97805590674,637.833946403944,31.7295816736766,0,0.00673860938192675,0,0.656210365792133,0.146744914351009,0.00925385616172011,0,1.43446483094815e-06,0
"39003012400","Census Tract 124, Allen County, Ohio",B01003_001,2066,406,2211.43561443786,12.2553257271647,989.292602856952,1029.95506349677,114.145488387599,51.4767682626843,13.6880337297916,0.622331976890564,827.599765745887,1038.92126363291,127.02317379858,50.650920014431,11.6265681490322,0.491881916325793,0.447353111435002,0.4657404704765,0.0516160125315767,0.0232775342526848,0.00618965962220479,0.000281415372361523
"39003012600","Census Tract 126, Allen County, Ohio",B01003_001,1957,378,2479.36006265883,0,1578.71349181659,743.760771860361,145.551236394793,10.9435288482346,0.391033738851547,0,1327.8550489375,524.944422272607,96.829598660024,7.15087230861137,0.220057821253281,0,0.636742325406177,0.299980943898388,0.0587051629115563,0.00441385219236729,0.000157715591511226,0
"39003012700","Census Tract 127, Allen County, Ohio",B01003_001,1476,305,1054.43264521823,0,669.879894743564,351.156199875267,15.4617109633109,10.5473386347294,7.38750100135803,0,890.134887779318,536.876018563198,26.1633732778306,8.94078855955618,13.8849318200975,0,0.635298895364647,0.333028573676785,0.0146635359151944,0.0100028566855937,0.00700613835777921,0
"39003012900","Census Tract 129, Allen County, Ohio",B01003_001,1873,377,913.617334892348,14,607.466797662739,261.987717081094,26.1628201485146,4,0,0,1286.86935715739,501.344146158903,62.1499395555894,9.28351458448193,0,0,0.664902880519794,0.286758697624717,0.0286365189771682,0.00437820063962701,0,0
"39003013000","Census Tract 130, Allen County, Ohio",B01003_001,4150,441,2905.00276336113,2028.50256690709,441.506110033159,363.699528606398,64.2977910684385,3.99998265504837,2.99678409099579,0,620.116809437402,492.000610793284,76.6752929384594,4.41570000928638,3.3082392299222,0,0.151981304665724,0.125197653232382,0.0221334698470459,0.00137692903617769,0.00103159423074988,0
"39003013100","Census Tract 131, Allen County, Ohio",B01003_001,2555,385,1686.79802532152,1476.45312561063,66.6915453518741,142.532372598698,1.12098176032305,0,0,0,101.213637387025,218.970693739849,1.77614990073647,0,0,0,0.0395373627136906,0.0844987784305296,0.000664561935391984,0,0,0
"39003013200","Census Tract 132, Allen County, Ohio",B01003_001,2131,435,1170.59542103088,948.677224523417,88.458227369003,128.508845349508,4.95112378895283,0,0,0,163.035500202848,236.296528822609,9.26361450069845,0,0,0,0.0755668660407902,0.109780751778729,0.00422957727324154,0,0,0
"39003013300","Census Tract 133, Allen County, Ohio",B01003_001,1247,286,981.349962640204,414.842661703937,448.670539498562,116.263383590034,1.57337784767151,0,0,0,604.368551414249,150.867965794579,2.01269419316675,0,0,0,0.457197285962561,0.118472907745614,0.00160327906207743,0,0,0
"39003013400","Census Tract 134, Allen County, Ohio",B01003_001,2517,468,2366.39245864528,427.930722468533,1247.2441363945,590.472950122377,67.9711886002094,21.1609620610252,11.612498998642,0,1360.68555611432,712.355420636535,77.9966340375584,26.4313594547229,14.5047344405024,0,0.527065631838821,0.249524523273883,0.0287235485187109,0.00894228765127973,0.00490725828516624,0
"39003013600","Census Tract 136, Allen County, Ohio",B01003_001,1168,221,1719.53019558588,250.538239389658,1108.03816712083,307.685846684868,40.658718923456,10.609223467065,2,0,752.640798352584,208.997242299359,27.6176503468822,7.20637127591115,1.35851060132391,0,0.644384245164884,0.178935995119314,0.0236452485846594,0.0061698384211568,0.00116310839154445,0
