GEOID,NAME,variable,estimate,moe,coverage_all,coverage_na,coverage_4050,coverage_5060,coverage_6070,coverage_7080,coverage_8090,coverage_90,noise4050n,noise5060n,noise6070n,noise7080n,noise8090n,noise90n,noise4050p,noise5060p,noise6070p,noise7080p,noise8090p,noise90p
"42001030101","Census Tract 301.01, Adams County, Pennsylvania",B01003_001,2697,23,61923.4962885025,60173.1939880112,535.489691667972,716.58268368576,301.817068595905,196.412856541627,0,0,23.7045690159832,32.8223996414271,13.468218551889,10.2131006522126,0,0,0.00864760105232297,0.0115720643477104,0.00487403145309714,0.0031718631588006,0,0
"42001030103","Census Tract 301.03, Adams County, Pennsylvania",B01003_001,2347,335,20698.2347480996,20670.3559456362,8,19.8788024634123,0,0,0,0,0.907130498252943,2.25408349791338,0,0,0,0,0.000386506390393244,0.000960410523184226,0,0,0,0
"42001030104","Census Tract 301.04, Adams County, Pennsylvania",B01003_001,3526,336,56254.3669144814,54357.566677699,598.755412671715,707.302373112252,589.648453028174,1.09399797022343,0,0,40.633176778844,48.1464308558838,39.9887789937724,0.0822261708452672,0,0,0.0106437143552242,0.012573288295778,0.0104818254185416,1.94473430282584e-05,0,0
"42001030200","Census Tract 302, Adams County, Pennsylvania",B01003_001,5778,437,134890.545953385,129223.263475375,2025.1490129598,2094.61486478342,1169.59362200836,373.924978258379,4,0,101.812085235171,109.306200067824,58.7500700995278,12.6204371940714,0.137113940211856,0,0.01501327612433,0.0155282555199033,0.00867068639793735,0.00277206216058758,2.96536719584655e-05,0
"42001030300","Census Tract 303, Adams County, Pennsylvania",B01003_001,4306,225,124525.761898514,122597.274442899,920.361379593494,747.050664218608,235.075411803205,23,3,0,57.1660050903013,47.6653546760066,16.0973311941242,1.60631776148866,0.20951970802026,0,0.0073909315274342,0.00599916557689835,0.00188776529626686,0.00018470073701492,2.40914004802069e-05,0
"42001030400","Census Tract 304, Adams County, Pennsylvania",B01003_001,5798,207,199522.299084392,194927.122494432,1501.53216067018,2186.59187884879,883.950545685779,23.1020047552884,0,0,55.8422666644433,80.6658936778889,28.8915145902005,0.490401742328759,0,0,0.00752563581895711,0.0109591353391729,0.00443033460291018,0.000115786580554171,0,0
"42001030500","Census Tract 305, Adams County, Pennsylvania",B01003_001,3879,214,71108.2022309623,66830.7593192512,1725.51879080839,1663.49890096375,825.813768938933,54.6114509999752,7,1,90.1272186026439,86.6886649718594,43.5856033879846,2.76550251398911,0.354477261516684,0.0506396087880977,0.0242661006279393,0.0233939102490686,0.0116134811882412,0.000768004945795072,9.8441526861609e-05,1.40630752659441e-05
"42001030600","Census Tract 306, Adams County, Pennsylvania",B01003_001,4946,37,99165.6473891341,93891.957911271,1622.24193117246,2128.48302572815,928.881679171255,594.082841791213,0,0,109.696513740786,146.679331691176,63.2719419961919,40.2352700270583,0,0,0.0163589103069801,0.0214639149924148,0.00936697035341531,0.00599081292193841,0,0
"42001030700","Census Tract 307, Adams County, Pennsylvania",B01003_001,6479,243,90634.7352151311,88364.8425624717,756.98351367563,1303.83761527548,208.071523708291,1,0,0,79.4028143098836,153.986122868057,12.4093399956804,0.0385914089017251,0,0,0.00835202433017374,0.0143856283375318,0.00229571502817779,1.10332975279995e-05,0,0
"42001030801","Census Tract 308.01, Adams County, Pennsylvania",B01003_001,3190,398,23905.1620053438,22710.597099252,394.619173073201,451.268566653525,346.677166365087,2,0,0,61.0000149939016,73.130036596189,46.4126262508826,0.204713214292782,0,0,0.0165076970817009,0.0188774527674252,0.014502188535162,8.36639383390465e-05,0,0
"42001030802","Census Tract 308.02, Adams County, Pennsylvania",B01003_001,1570,145,2095.16557049809,1785.87108748993,100.999535774274,120.458535419333,87.8364118145546,0,0,0,74.0780733654748,89.6546342262198,65.651256389888,0,0,0,0.0482059924983698,0.057493563809707,0.0419233749596567,0,0,0
"42001030803","Census Tract 308.03, Adams County, Pennsylvania",B01003_001,2563,17,39252.4894581794,37777.0344939273,512.896784629673,671.568599408783,290.989580213647,0,0,0,33.1408997905552,44.4853871475493,19.0492165827671,0,0,0,0.0130666052449011,0.0171089428639753,0.00741327707440505,0,0,0
"42001030901","Census Tract 309.01, Adams County, Pennsylvania",B01003_001,3445,448,6190.6263112722,5698.89900777582,170.967500870116,235.157981880242,85.6018207460211,0,0,0,115.995489316939,161.489929499848,76.0624852365002,0,0,0,0.0276171573397687,0.0379861374368624,0.0138276511037588,0,0,0
"42001030902","Census Tract 309.02, Adams County, Pennsylvania",B01003_001,3904,429,23651.0288234059,22695.8638413122,337.518056130502,471.858540337387,145.788385625788,0,0,0,71.2314891457099,92.4440456983727,45.3083143882789,0,0,0,0.0142707557734859,0.0199508674172524,0.00616414561558145,0,0,0
"42001031000","Census Tract 310, Adams County, Pennsylvania",B01003_001,1852,211,8904.18076469446,8558.83432715758,141.358847387135,188.955371548189,13.9795614443719,1.05265715718269,0,0,29.4015353325947,39.3012403223885,2.90763950992916,0.21894446065519,0,0,0.0158755590348783,0.0212209720963221,0.00156999973538292,0.000118220551109714,0,0
"42001031101","Census Tract 311.01, Adams County, Pennsylvania",B01003_001,5114,307,3368.77734985961,2913.61343446673,175.478991276061,260.338205015752,19.3467191010714,0,0,0,263.207454875725,394.16830999595,29.8330924938845,0,0,0,0.052089815696301,0.0772797302934257,0.00574294976837148,0,0,0
"42001031102","Census Tract 311.02, Adams County, Pennsylvania",B01003_001,3319,262,19352.5053205712,18253.6823150041,349.286877299659,584.259193375539,165.276934891939,0,0,0,59.9035177386196,100.20182042023,28.3453815317259,0,0,0,0.0180486645792768,0.0301903646942542,0.00854033791254169,0,0,0
"42001031201","Census Tract 312.01, Adams County, Pennsylvania",B01003_001,3724,20,75347.9744102466,73161.8059713356,660.695752401603,852.321684421553,478.040932945217,195.110069142655,0,0,38.7908801585391,48.4656094272003,29.9278264611684,13.217717378498,0,0,0.00876859341704819,0.0113118062043835,0.00634444305486476,0.00258945340826736,0,0
"42001031202","Census Tract 312.02, Adams County, Pennsylvania",B01003_001,2723,45,31264.3883236423,30468.4065165317,275.436933405579,319.7984965879,199.746377117147,1,0,0,23.8740926510434,27.6044653961719,17.0718663166702,0.082904601681844,0,0,0.00880992554705739,0.0102288422622383,0.0063889424302633,3.19852731372261e-05,0,0
"42001031203","Census Tract 312.03, Adams County, Pennsylvania",B01003_001,3190,23,50580.2379531266,49407.4575440748,371.081951697097,601.473660275897,200.22479707883,0,0,0,22.2779545488662,36.1242625365094,12.4270730787015,0,0,0,0.00733650071083065,0.0118914754974718,0.00395855783170457,0,0,0
"42001031300","Census Tract 313, Adams County, Pennsylvania",B01003_001,4494,18,4324.48057966898,3973.32368297633,125.757383530348,204.337306461854,21.0622067004442,0,0,0,127.310110226019,199.330443851724,18.7101083108284,0,0,0,0.0290803441508285,0.0472512947387302,0.00487045931006504,0,0,0
"42001031401","Census Tract 314.01, Adams County, Pennsylvania",B01003_001,4174,219,32960.1779879702,30774.4338279755,881.349403853115,1123.6240342706,153.954502142545,14.81621972844,2,10,88.853506925176,109.769529642799,15.4805443688669,1.11616632877194,0.142932440188209,0.714662200941047,0.0267398253788189,0.0340903509283444,0.0046709244773719,0.000449518802169323,6.06792839750428e-05,0.000303396419875214
