GEOID,NAME,variable,estimate,moe,coverage_all,coverage_na,coverage_4050,coverage_5060,coverage_6070,coverage_7080,coverage_8090,coverage_90,noise4050n,noise5060n,noise6070n,noise7080n,noise8090n,noise90n,noise4050p,noise5060p,noise6070p,noise7080p,noise8090p,noise90p
"51001090101","Census Tract 901.01, Accomack County, Virginia",B01003_001,1776,169,49014.3227648021,48681.1901087971,109.955993966051,195.100293265139,28.0763687738217,0,0,0,5.93035287748463,8.59427379731334,1.00345286171143,0,0,0,0.00224334414439797,0.00398047513991652,0.000572819681882533,0,0,0
"51001090102","Census Tract 901.02, Accomack County, Virginia",B01003_001,1109,170,10078.0851135692,9898.21776956468,54.0440061460249,88.8997065541362,36.9236313044094,0,0,0,12.5109882310669,21.5764997144805,10.8446736100933,0,0,0,0.00536252725959413,0.00882109106564705,0.00366375466056493,0,0,0
"51001090201","Census Tract 902.01, Accomack County, Virginia",B01003_001,2652,518,112591.45031186,110348.555255077,721.270732872464,1117.67836752519,385.462054735268,18.4839016497135,0,0,17.9597339294071,27.3592639859439,9.78029978395789,0.473981819793149,0,0,0.00640608794783852,0.00992684936937402,0.00342354640310256,0.000164167897282753,0,0
"51001090202","Census Tract 902.02, Accomack County, Virginia",B01003_001,2903,478,136301.559485664,131096.470742555,2056.59877437764,2362.3621094435,671.86570635828,109.262152929379,4,1,44.1779387688941,50.9394878080431,13.3769775334967,1.99595988583883,0.0945678423683405,0.016233035598173,0.0150885931323035,0.0173318788013718,0.0049292591287552,0.000801620710296211,2.93466928411829e-05,7.33667321029572e-06
"51001090300","Census Tract 903, Accomack County, Virginia",B01003_001,2312,315,149075.66433151,146033.431354348,1166.30147533096,1450.90185588092,315.903638502466,59.1260074265301,48.0000000204891,2,22.9503761642579,28.9090446215273,6.7836164012216,1.27596508973608,0.956082483456144,0.0467640215571839,0.00782355376755106,0.00973265396727968,0.00211908254723568,0.000396617433782133,0.000321984142990289,1.3416005952202e-05
"51001090401","Census Tract 904.01, Accomack County, Virginia",B01003_001,3162,719,97686.5561616708,94983.6183447436,1061.29313499542,969.931962749222,593.712719117338,78.0000000651926,0,0,33.8633819624026,29.3228044814255,17.4955097072775,2.25557125121173,0,0,0.0108642701380422,0.00992902197456925,0.00607773211018665,0.000798472206719039,0,0
"51001090402","Census Tract 904.02, Accomack County, Virginia",B01003_001,3886,732,148442.220987984,145925.006011314,870.645157495281,1060.07803090468,514.489993410418,72.001794859767,0,0,23.0806628879838,27.9902518586247,13.4820091035016,1.87371002271521,0,0,0.00586521241531246,0.00714135118599776,0.00346592761807346,0.00048504929649089,0,0
"51001090500","Census Tract 905, Accomack County, Virginia",B01003_001,2187,405,76609.0944076099,73821.5545698905,1013.6646534938,1209.73019799912,511.147154870841,44.9978313556494,7,1,39.5056774527836,43.7425624816452,18.7420599143946,3.02759483649379,0.281361353149904,0.0197292833867666,0.0132316490794219,0.0157909476329609,0.00667214720162606,0.000587369315661556,9.1372963668719e-05,1.30532805241027e-05
"51001090600","Census Tract 906, Accomack County, Virginia",B01003_001,3569,356,164513.339179167,162986.98121176,512.02961887198,921.315165933372,91.2234459376195,1.78973666345701,0,0,25.1920918330923,47.9717112877063,3.25273637061789,0.0315066831587007,0,0,0.00311238967871379,0.00560024597719698,0.000554504858954146,1.08789759686773e-05,0,0
"51001090700","Census Tract 907, Accomack County, Virginia",B01003_001,5420,602,188884.164833551,183571.034829311,1666.71444618359,2578.6870065361,905.64392161218,162.084629908204,0,0,59.9492930128011,91.7696838073311,37.0336785522757,6.16566764709584,0,0,0.00882400304785914,0.0136522138253807,0.00479470538152445,0.000858116560755829,0,0
"51001090800","Census Tract 908, Accomack County, Virginia",B01003_001,3557,565,339835.635547761,336187.264020509,1238.90089096368,1936.60123643109,390.410534184426,78.4588656723499,3,1,18.3520636416401,27.5212146918042,7.57829317393061,1.62168498545039,0.0448885633228819,0.00795828169763755,0.0036455885180104,0.00569864085415763,0.00114882164595584,0.000230872979362175,8.8277969882837e-06,2.94259899609457e-06
"51001980100","Census Tract 9801, Accomack County, Virginia",B01003_001,27,30,58424.3055881105,58424.3055881105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51001980200","Census Tract 9802, Accomack County, Virginia",B01003_001,0,13,84503.8544318734,83597.8904606013,275.351465836167,331.608070164919,299.004435271025,0,0,0,0,0,0,0,0,0,0.00325844859607149,0.00392417686026689,0.00353835262641281,0,0,0
"51003010100","Census Tract 101, Albemarle County, Virginia",B01003_001,4710,642,405150.049940234,402299.733065682,1087.58568504858,1736.51565864598,26.1589407771826,0.0565900802612305,0,0,15.9251874692978,34.7831383100307,0.682816772856732,0.00152294103861896,0,0,0.00268440219915812,0.00428610500949497,6.45660559119798e-05,1.39676843849775e-07,0,0
"51003010201","Census Tract 102.01, Albemarle County, Virginia",B01003_001,5395,527,78774.7238974251,35101.8471594796,21902.8673092541,16582.5826526046,4081.76257723775,909.398034671067,184.973498936743,11.2926652412862,2503.20664427753,965.766073386693,239.712985306296,81.1595339781564,10.0592853585714,0.587114058343077,0.278044355163649,0.210506388752276,0.0518156380027778,0.0115442871733225,0.00234813262154498,0.000143353917126903
"51003010202","Census Tract 102.02, Albemarle County, Virginia",B01003_001,3021,400,66442.4683924421,48475.7030543443,10509.5023064705,6132.14647414893,1325.11655747835,0,0,0,558.1919926952,328.59729983802,70.2430102170899,0,0,0,0.158174471249265,0.0922925746516436,0.0199438189088875,0,0,0
"51003010301","Census Tract 103.01, Albemarle County, Virginia",B01003_001,2025,493,8351.78600429515,0,1709.82134256791,5615.98723922228,992.734992583376,33.2424299215782,0,0,414.568598491316,1361.66972592168,240.701612678712,8.06006290829011,0,0,0.204725233822872,0.672429494282312,0.118864993915413,0.00398027797940252,0,0
"51003010302","Census Tract 103.02, Albemarle County, Virginia",B01003_001,1342,127,4760.05878449198,24.5683352947235,3473.26879678923,978.631385762343,229.461973796402,50.855135967955,2.2803515791893,0.992805302143097,979.216210622618,275.904853102193,64.6920516691973,14.3375524460628,0.642897904799435,0.279900895303382,0.729669307468419,0.205592289942022,0.0482057016909071,0.010683720153549,0.000479059541579311,0.000208569966694026
"51003010303","Census Tract 103.03, Albemarle County, Virginia",B01003_001,5400,682,13592.116256718,1521.55181509349,8386.76226516123,3273.22269719662,318.14631437681,92.1883124540218,0.217315556481481,0.0275368792936206,2854.6775753006,2251.58109254206,112.093579190187,24.2527551806015,0.0224755700962796,0.00806552985325236,0.617031381041642,0.240817738413532,0.0234066798994281,0.00678248410422898,1.5988353276045e-05,2.02594495025823e-06
"51003010401","Census Tract 104.01, Albemarle County, Virginia",B01003_001,4264,600,266158.804111753,254005.725168666,5049.96635081213,4185.55713316129,2332.37015184865,555.96948080555,19.52883387357,9.68699258565903,84.034082068533,69.5914589469837,38.474508589714,9.64049705597477,0.329725890144564,0.161965706697718,0.0189735085700633,0.0157257887715933,0.00876307721486962,0.00208886376184691,7.33728645150147e-05,3.63955369351289e-05
"51003010402","Census Tract 104.02, Albemarle County, Virginia",B01003_001,3028,424,55170.5260331523,52536.1018821003,796.344327925201,1061.05848984096,673.062796693914,100.958536591846,3,0,42.3901392909408,49.5232011703479,36.4840266252666,3.08559119517023,0.0852408728693736,0,0.0144342348203581,0.0192323431754731,0.0121996806100683,0.00182993608817831,5.43768605395802e-05,0
"51003010501","Census Tract 105.01, Albemarle County, Virginia",B01003_001,2663,438,23136.6569663196,22359.2390182634,239.525798960734,261.745667023002,243.856533311045,32.2899487614632,0,0,30.4831603794063,33.6946557047784,30.3950596374139,4.96965167053231,0,0,0.0103526537697047,0.0113130288184688,0.0105398344136766,0.00139561859816084,0,0
"51003010502","Census Tract 105.02, Albemarle County, Virginia",B01003_001,3217,415,5502.74037321116,4461.84346270113,322.691062463855,377.960015248688,249.870746648288,90.3750861492008,0,0,165.260602824012,196.557643261769,163.159967373172,32.5450319393677,0,0,0.058641883966542,0.068685780104891,0.04540842011459,0.0164236507666564,0,0
